symbol,name,percent,shares,fund
HES,Hess Corp,4.97,N/A,RYE
VLO,Valero Energy Corp,4.96,N/A,RYE
TRGP,Targa Resources,4.91,N/A,RYE
MPC,Marathon Petroleum Corp,4.80,N/A,RYE
OKE,Oneok Inc,4.72,N/A,RYE
PSX,Phillips 66,4.67,N/A,RYE
MRO,Marathon Oil Corp,4.64,N/A,RYE
KMI,Kinder Morgan,4.62,N/A,RYE
WMB,Williams Companies,4.61,N/A,RYE
APA,Apa Corp,4.60,N/A,RYE
FANG,Diamondback Energy,4.58,N/A,RYE
PXD,Pioneer Natural Resources Company,4.58,N/A,RYE
CTRA,Coterra Energy Inc,4.55,N/A,RYE
EOG,Eog Resources,4.51,N/A,RYE
HAL,Halliburton Company,4.39,N/A,RYE
DVN,Devon Energy Corp,4.38,N/A,RYE
COP,Conocophillips,4.36,N/A,RYE
XOM,Exxon Mobil Corp,4.33,N/A,RYE
OXY,Occidental Petroleum Corp,4.26,N/A,RYE
CVX,Chevron Corp,4.24,N/A,RYE
SLB,Schlumberger N.V.,4.18,N/A,RYE
BKR,Baker Hughes A Ge Co. Cl A,4.18,N/A,RYE
