date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-08,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,4465773,306218054.61,8.67
2022-04-08,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3871072,266291042.88,7.54
2022-04-08,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,6106096,240152755.68,6.80
2022-04-08,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,4403153,174232764.21,4.93
2022-04-08,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,8294541,142583159.79,4.04
2022-04-08,ARKG,CAREDX INC,CDNA,14167L103,3471520,130841588.80,3.70
2022-04-08,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,1945504,124395525.76,3.52
2022-04-08,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1809087,119327378.52,3.38
2022-04-08,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,416507,114885125.81,3.25
2022-04-08,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,2088948,111487154.76,3.16
2022-04-08,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,12526664,109858843.28,3.11
2022-04-08,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,2269313,109607817.90,3.10
2022-04-08,ARKG,INCYTE CORP,INCY,45337C102,1248264,102582335.52,2.90
2022-04-08,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,7630546,100570596.28,2.85
2022-04-08,ARKG,SCHRODINGER INC,SDGR,80810D103,2804465,92042541.30,2.61
2022-04-08,ARKG,CODEXIS INC,CDXS,192005106,3901557,78031140.00,2.21
2022-04-08,ARKG,ACCOLADE INC,ACCD,00437E102,4802877,77038147.08,2.18
2022-04-08,ARKG,UIPATH INC - CLASS A,PATH,90364P105,3209740,67661319.20,1.92
2022-04-08,ARKG,908 DEVICES INC,MASS,65443P102,3446363,65480897.00,1.85
2022-04-08,ARKG,SOMALOGIC INC,SLGC,83444K105,9045113,65215264.73,1.85
2022-04-08,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,2359762,64822662.14,1.83
2022-04-08,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,5939579,64266244.78,1.82
2022-04-08,ARKG,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,17611122,60053926.02,1.70
2022-04-08,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,3006467,54807893.41,1.55
2022-04-08,ARKG,VERACYTE INC,VCYT,92337F107,1999893,53197153.80,1.51
2022-04-08,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,247905,50607326.70,1.43
2022-04-08,ARKG,QUANTUM-SI INC,QSI,74765K105,11256808,48967114.80,1.39
2022-04-08,ARKG,INVITAE CORP,NVTA,46185L103,5674920,42448401.60,1.20
2022-04-08,ARKG,PFIZER INC,PFE,717081103,751589,41457649.24,1.17
2022-04-08,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,57055,41182299.00,1.17
2022-04-08,ARKG,PERSONALIS INC,PSNL,71535D106,5130322,41196485.66,1.17
2022-04-08,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,1158081,40474930.95,1.15
2022-04-08,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,543580,39844414.00,1.13
2022-04-08,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,2846734,39341863.88,1.11
2022-04-08,ARKG,VERVE THERAPEUTICS INC,VERV,92539P101,1669778,33111697.74,0.94
2022-04-08,ARKG,BURNING ROCK BIOTECH LTD-ADR,BNR,12233L107,3484748,32721783.72,0.93
2022-04-08,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,7265384,31967689.60,0.90
2022-04-08,ARKG,CERUS CORP,CERS,157085101,4344730,23157410.90,0.66
2022-04-08,ARKG,DYNAMICS SPECIAL PURPOSE C-A,DYNS,268010105,2255686,22286177.68,0.63
2022-04-08,ARKG,BERKELEY LIGHTS INC,BLI,084310101,3376819,21409032.46,0.61
2022-04-08,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,2798236,18720198.84,0.53
2022-04-08,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,5329596,15615716.28,0.44
2022-04-08,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,797284,10571985.84,0.30
2022-04-08,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,520760,9936100.80,0.28
2022-04-08,ARKG,COMPUGEN LTD,CGEN,M25722105,3179442,9888064.62,0.28
2022-04-08,ARKG,ATAI LIFE SCIENCES NV,ATAI UQ,N0731H103,1657178,8070456.86,0.23
2022-04-08,ARKG,ZYMERGEN INC,ZY,98985X100,3106192,7703356.16,0.22
2022-04-08,ARKG,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,5922987,5922986.77,0.17
2022-04-08,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,200676,700359.24,0.02
