symbol,name,percent,shares,fund
OXY,Occidental Petroleum Corp,6.02,N/A,PXE
VLO,Valero Energy Corp,4.82,N/A,PXE
DVN,Devon Energy Corp,4.58,N/A,PXE
COP,Conocophillips,4.57,N/A,PXE
MPC,Marathon Petroleum Corp,4.54,N/A,PXE
EOG,Eog Resources,4.44,N/A,PXE
PXD,Pioneer Natural Resources Company,4.44,N/A,PXE
CRK,Comstock Resources,4.11,N/A,PXE
KOS,Kosmos Energy Ltd,4.00,N/A,PXE
PSX,Phillips 66,3.95,N/A,PXE
RRC,Range Resources Corp,3.43,N/A,PXE
AR,Antero Resources Corp,3.38,N/A,PXE
PBF,PBF Energy Inc,3.15,N/A,PXE
PDCE,Pdc Energy Inc,3.01,N/A,PXE
APA,Apa Corp,2.88,N/A,PXE
MUR,Murphy Oil Corp,2.79,N/A,PXE
MTDR,Matador Resources Company,2.70,N/A,PXE
WLL,Whiting Petroleum Corp,2.70,N/A,PXE
OAS,Oasis Petroleum Inc,2.66,N/A,PXE
MGY,Magnolia Oil & Gas Corp,2.63,N/A,PXE
CTRA,Coterra Energy Inc,2.59,N/A,PXE
NFG,National Fuel Gas Company,2.59,N/A,PXE
CLR,Continental Resources,2.59,N/A,PXE
SM,Sm Energy Company,2.59,N/A,PXE
CDEV,Centennial Resource Development Inc,2.54,N/A,PXE
MRO,Marathon Oil Corp,2.52,N/A,PXE
HES,Hess Corp,2.52,N/A,PXE
DINO,HF Sinclair Corp,2.41,N/A,PXE
HPK,Highpeak Energy Inc,2.40,N/A,PXE
FANG,Diamondback Energy,2.34,N/A,PXE
AGPXX,Invesco Government & Agency Portfolio Institutio,0.10,N/A,PXE
