symbol,name,percent,shares,fund
BKR,Baker Hughes A Ge Co. Cl A,1.61,N/A,SPYD
VLO,Valero Energy Corp,1.58,N/A,SPYD
CVX,Chevron Corp,1.58,N/A,SPYD
ABBV,Abbvie Inc,1.58,N/A,SPYD
NEM,Newmont Mining Corp,1.55,N/A,SPYD
SRE,Sempra,1.54,N/A,SPYD
IRM,Iron Mountain Inc,1.51,N/A,SPYD
BMY,Bristol-Myers Squibb Company,1.49,N/A,SPYD
MPC,Marathon Petroleum Corp,1.47,N/A,SPYD
OKE,Oneok Inc,1.46,N/A,SPYD
WMB,Williams Companies,1.43,N/A,SPYD
ED,Consolidated Edison Company of New York,1.43,N/A,SPYD
OGN,Organon & CO,1.43,N/A,SPYD
NI,NiSource Inc,1.43,N/A,SPYD
VTR,Ventas Inc,1.43,N/A,SPYD
EOG,Eog Resources,1.42,N/A,SPYD
CAH,Cardinal Health,1.41,N/A,SPYD
XOM,Exxon Mobil Corp,1.41,N/A,SPYD
AEP,American Electric Power Company,1.40,N/A,SPYD
FE,Firstenergy Corp,1.38,N/A,SPYD
ETR,Entergy Corp,1.37,N/A,SPYD
EIX,Edison International,1.37,N/A,SPYD
SO,Southern Company,1.35,N/A,SPYD
DUK,Duke Energy Corp,1.35,N/A,SPYD
WELL,Welltower Inc,1.35,N/A,SPYD
D,Dominion Resources,1.34,N/A,SPYD
PNW,Pinnacle West Capital Corp,1.34,N/A,SPYD
AMGN,Amgen Inc,1.34,N/A,SPYD
PEG,Public Service Enterprise Group Inc,1.34,N/A,SPYD
KMI,Kinder Morgan,1.34,N/A,SPYD
EVRG,Evergy Inc,1.34,N/A,SPYD
KHC,Kraft Heinz Company,1.33,N/A,SPYD
MRK,Merck & Company,1.33,N/A,SPYD
DOW,Dow Inc,1.30,N/A,SPYD
MO,Altria Group,1.29,N/A,SPYD
LYB,Lyondellbasell Industries NV,1.29,N/A,SPYD
BXP,Boston Properties,1.28,N/A,SPYD
MET,Metlife Inc,1.28,N/A,SPYD
PRU,Prudential Financial Inc,1.26,N/A,SPYD
O,Realty Income Corp,1.26,N/A,SPYD
OMC,Omnicom Group Inc,1.26,N/A,SPYD
GIS,General Mills,1.22,N/A,SPYD
K,Kellogg Company,1.22,N/A,SPYD
PFG,Principal Financial Group Inc,1.22,N/A,SPYD
KIM,Kimco Realty Corp,1.22,N/A,SPYD
VNO,Vornado Realty Trust,1.22,N/A,SPYD
PEAK,Healthpeak Properties Inc,1.21,N/A,SPYD
PSX,Phillips 66,1.21,N/A,SPYD
IBM,International Business Machines,1.20,N/A,SPYD
CPB,Campbell Soup Company,1.20,N/A,SPYD
VZ,Verizon Communications Inc,1.20,N/A,SPYD
HPE,Hewlett Packard Enterprise Comp,1.20,N/A,SPYD
PM,Philip Morris International Inc,1.19,N/A,SPYD
PPL,PPL Corp,1.19,N/A,SPYD
REG,Regency Centers Corp,1.17,N/A,SPYD
CAG,Conagra Brands Inc,1.17,N/A,SPYD
CMA,Comerica Inc,1.17,N/A,SPYD
FRT,Federal Realty Investment Trust,1.17,N/A,SPYD
MTB,M&T Bank Corp,1.17,N/A,SPYD
AMCR,Amcor Plc,1.16,N/A,SPYD
IPG,Interpublic Group of Companies,1.15,N/A,SPYD
IP,International Paper Company,1.13,N/A,SPYD
NWL,Newell Rubbermaid Inc,1.12,N/A,SPYD
LUMN,Centurylink,1.12,N/A,SPYD
USB,U.S. Bancorp,1.11,N/A,SPYD
T,AT&T Inc,1.08,N/A,SPYD
KMB,Kimberly-Clark Corp,1.08,N/A,SPYD
GILD,Gilead Sciences Inc,1.07,N/A,SPYD
RF,Regions Financial Corp,1.07,N/A,SPYD
HBAN,Huntington Bcshs,1.07,N/A,SPYD
MMM,3M Company,1.04,N/A,SPYD
TFC,Truist Financial Corp,1.04,N/A,SPYD
WBA,Walgreens Boots Alliance,1.04,N/A,SPYD
SPG,Simon Property Group,1.03,N/A,SPYD
BEN,Franklin Resources,1.00,N/A,SPYD
KEY,Keycorp,1.00,N/A,SPYD
CFG,Citizens Financial Group Inc/Ri,0.98,N/A,SPYD
C,Citigroup Inc,0.96,N/A,SPYD
VTRS,Viatris Inc,0.91,N/A,SPYD
SPYD,SPDR S&P 500 High Dividend Portfolio ETF,0.00,N/A,SPYD
