symbol,name,percent,shares,fund
LNG,Cheniere Energy,4.36,N/A,PXI
RRC,Range Resources Corp,4.08,N/A,PXI
MTDR,Matador Resources Company,3.90,N/A,PXI
OVV,Ovintiv Inc,3.86,N/A,PXI
TRGP,Targa Resources,3.80,N/A,PXI
SM,Sm Energy Company,3.76,N/A,PXI
AR,Antero Resources Corp,3.74,N/A,PXI
PDCE,Pdc Energy Inc,3.68,N/A,PXI
DVN,Devon Energy Corp,3.18,N/A,PXI
APA,Apa Corp,3.06,N/A,PXI
MRO,Marathon Oil Corp,2.75,N/A,PXI
COP,Conocophillips,2.72,N/A,PXI
TPL,Texas Pacific Land Trust,2.69,N/A,PXI
KOS,Kosmos Energy Ltd,2.67,N/A,PXI
MUR,Murphy Oil Corp,2.64,N/A,PXI
FANG,Diamondback Energy,2.64,N/A,PXI
CVX,Chevron Corp,2.59,N/A,PXI
HAL,Halliburton Company,2.53,N/A,PXI
ARCH,Arch Resources Inc,2.39,N/A,PXI
OXY,Occidental Petroleum Corp,2.37,N/A,PXI
HES,Hess Corp,2.33,N/A,PXI
CEIX,Consol Energy Inc,2.28,N/A,PXI
MPC,Marathon Petroleum Corp,2.24,N/A,PXI
WFRD,Weatherford International Plc,2.11,N/A,PXI
NOG,Northern Oil and Gas,2.08,N/A,PXI
PXD,Pioneer Natural Resources Company,2.03,N/A,PXI
EOG,Eog Resources,1.94,N/A,PXI
MGY,Magnolia Oil & Gas Corp,1.85,N/A,PXI
NEX,Nextier Oilfield Solutions Inc,1.81,N/A,PXI
OAS,Oasis Petroleum Inc,1.79,N/A,PXI
SLCA,U.S. Silica Holdings Inc,1.75,N/A,PXI
VTNR,Vertex Energy,1.75,N/A,PXI
DEN,Denbury Inc,1.69,N/A,PXI
ESTE,Earthstone Energy,1.68,N/A,PXI
VAL,Valaris Ltd,1.65,N/A,PXI
PTEN,Patterson-Uti Energy,1.63,N/A,PXI
HCC,Warrior Met Coal Inc,1.60,N/A,PXI
PUMP,Propetro Holding Corp,1.53,N/A,PXI
AROC,Archrock Inc,1.41,N/A,PXI
NE,Noble Corp Plc,1.36,N/A,PXI
AGPXX,Invesco Government & Agency Portfolio Institutio,0.10,N/A,PXI
