symbol,name,percent,shares,fund
SLB,Schlumberger N.V.,19.12,N/A,OIH
HAL,Halliburton Company,12.91,N/A,OIH
BKR,Baker Hughes A Ge Co. Cl A,8.35,N/A,OIH
TS,Tenaris S.A. ADR,5.41,N/A,OIH
HP,Helmerich & Payne,4.83,N/A,OIH
NOV,Nov Inc,4.55,N/A,OIH
FTI,Technipfmc Plc,4.54,N/A,OIH
PTEN,Patterson-Uti Energy,4.37,N/A,OIH
WHD,Cactus Inc Cl A,4.30,N/A,OIH
CHX,Championx Corp,4.23,N/A,OIH
RIG,Transocean Inc,4.01,N/A,OIH
RES,RPC Inc,2.78,N/A,OIH
LBRT,Liberty Oilfield Services Inc,2.50,N/A,OIH
XPRO,Expro Group Hldgs N.V.,2.33,N/A,OIH
SLCA,U.S. Silica Holdings Inc,2.09,N/A,OIH
NEX,Nextier Oilfield Solutions Inc,2.00,N/A,OIH
OII,Oceaneering International,1.95,N/A,OIH
NBR,Nabors Industries,1.86,N/A,OIH
CLB,Core Laboratories N.V.,1.75,N/A,OIH
DRQ,Dril-Quip,1.55,N/A,OIH
PUMP,Propetro Holding Corp,1.50,N/A,OIH
WTTR,Select Energy Services Inc,1.09,N/A,OIH
HLX,Helix Energy Solutions Group,0.95,N/A,OIH
OIS,Oil States International,0.53,N/A,OIH
BOOM,Dynamic Materials,0.50,N/A,OIH
