date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-08,ARKX,TRIMBLE INC,TRMB,896239100,516131,37486594.53,9.16
2022-04-08,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,1763191,36057255.95,8.81
2022-04-08,ARKX,AEROVIRONMENT INC,AVAV,008073108,281007,29266879.05,7.15
2022-04-08,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,987008,27794145.28,6.79
2022-04-08,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,100798,26288118.40,6.42
2022-04-08,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,575195,23082575.35,5.64
2022-04-08,ARKX,KOMATSU LTD,6301,6496584,870288,19897512.74,4.86
2022-04-08,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,1930573,15502501.19,3.79
2022-04-08,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,255243,12089873.66,2.95
2022-04-08,ARKX,AMAZON.COM INC,AMZN,023135106,3697,11666585.93,2.85
2022-04-08,ARKX,DEERE & CO,DE,244199105,27830,11395271.80,2.78
2022-04-08,ARKX,VELO3D INC,VLD,92259N104,1635306,11136433.86,2.72
2022-04-08,ARKX,JD LOGISTICS INC,2618,BNMBPD9,4555126,10240286.83,2.50
2022-04-08,ARKX,UNITY SOFTWARE INC,U,91332U101,105401,9892937.86,2.42
2022-04-08,ARKX,GARMIN LTD,GRMN U,B3Z5T14,85973,9916985.55,2.42
2022-04-08,ARKX,UIPATH INC - CLASS A,PATH,90364P105,455737,9606935.96,2.35
2022-04-08,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,2134553,8794358.36,2.15
2022-04-08,ARKX,MARKFORGED HOLDING CORP,MKFG,57064N102,2135072,8518937.28,2.08
2022-04-08,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,191224,8444451.84,2.06
2022-04-08,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,37457,8218814.94,2.01
2022-04-08,ARKX,ALPHABET INC-CL C,GOOG,02079K107,2899,7912240.70,1.93
2022-04-08,ARKX,TERADYNE INC,TER,880770102,70002,7799622.84,1.91
2022-04-08,ARKX,JOBY AVIATION INC,JOBY,G65163100,1416867,7693587.81,1.88
2022-04-08,ARKX,THALES SA,HO,4162791,51960,6666246.26,1.63
2022-04-08,ARKX,MYNARIC AG,MYNA,62857X101,548995,6620879.70,1.62
2022-04-08,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,29482,5681181.40,1.39
2022-04-08,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,9572,4591688.40,1.12
2022-04-08,ARKX,HEICO CORP,HEI,422806109,29102,4486946.36,1.10
2022-04-08,ARKX,SYNOPSYS INC,SNPS,871607107,12927,4218984.99,1.03
2022-04-08,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,8848,4118832.48,1.01
2022-04-08,ARKX,AIRBUS SE,AIR,4012250,36936,4095388.18,1.00
2022-04-08,ARKX,3D SYSTEMS CORP,DDD,88554D205,255064,3922884.32,0.96
2022-04-08,ARKX,ANSYS INC,ANSS,03662Q105,12246,3809853.06,0.93
2022-04-08,ARKX,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1402610,1402610.00,0.34
2022-04-08,ARKX,PROTO LABS INC,PRLB,743713109,13690,688333.20,0.17
