date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-08,CTRU,BLACK KNIGHT INC,BKI,09215C105,3088,210601.60,1.20
2022-04-08,CTRU,AEROVIRONMENT INC,AVAV,008073108,1925,200488.75,1.14
2022-04-08,CTRU,HP INC,HPQ,40434L105,4951,198337.06,1.13
2022-04-08,CTRU,BIOMARIN PHARMACEUTICAL INC,BMRN,09061G101,2334,194538.90,1.11
2022-04-08,CTRU,ABCAM PLC-SPON ADR,ABCM,000380204,9873,190055.25,1.08
2022-04-08,CTRU,MCCORMICK & CO-NON VTG SHRS,MKC,579780206,1815,186926.85,1.07
2022-04-08,CTRU,NATURA &CO HOLDING-ADR,NTCO,63884N108,16716,188055.00,1.07
2022-04-08,CTRU,BWX TECHNOLOGIES INC,BWXT,05605H100,3351,185678.91,1.06
2022-04-08,CTRU,BIO-TECHNE CORP,TECH UW,09073M104,414,186155.10,1.06
2022-04-08,CTRU,FIVE9 INC,FIVN,338307101,1668,186532.44,1.06
2022-04-08,CTRU,HASBRO INC,HAS,418056107,2191,185533.88,1.06
2022-04-08,CTRU,INTUIT INC,INTU,461202103,376,186123.76,1.06
2022-04-08,CTRU,LULULEMON ATHLETICA INC,LULU,550021109,491,186201.93,1.06
2022-04-08,CTRU,MOMENTIVE GLOBAL INC,MNTV,60878Y108,11022,185390.04,1.06
2022-04-08,CTRU,RELX PLC - SPON ADR,RELX,759530108,5800,186702.00,1.06
2022-04-08,CTRU,THERMO FISHER SCIENTIFIC INC,TMO,883556102,303,185499.63,1.06
2022-04-08,CTRU,CME GROUP INC,CME,12572Q105,752,183713.60,1.05
2022-04-08,CTRU,EVOTEC SE - SPON ADR,EVO,30050E105,12003,183765.93,1.05
2022-04-08,CTRU,PEARSON PLC-SPONSORED ADR,PSO,705015105,18119,183726.66,1.05
2022-04-08,CTRU,ROPER TECHNOLOGIES INC,ROP,776696106,381,184887.87,1.05
2022-04-08,CTRU,ELASTIC NV,ESTC,N14506104,2027,183443.50,1.05
2022-04-08,CTRU,CBOE GLOBAL MARKETS INC,CBOE,12503M108,1550,182807.00,1.04
2022-04-08,CTRU,CAREDX INC,CDNA,14167L103,4854,182947.26,1.04
2022-04-08,CTRU,WEST PHARMACEUTICAL SERVICES,WST,955306105,436,183316.20,1.04
