symbol,name,percent,shares,fund
HP,Helmerich & Payne,6.52,N/A,PXJ
BKR,Baker Hughes A Ge Co. Cl A,6.12,N/A,PXJ
HAL,Halliburton Company,5.77,N/A,PXJ
PTEN,Patterson-Uti Energy,5.73,N/A,PXJ
FTI,Technipfmc Plc,5.63,N/A,PXJ
CHX,Championx Corp,5.39,N/A,PXJ
NOV,Nov Inc,5.36,N/A,PXJ
SLB,Schlumberger N.V.,5.00,N/A,PXJ
GLNG,Golar Lng Ltd,4.70,N/A,PXJ
NEX,Nextier Oilfield Solutions Inc,4.13,N/A,PXJ
RES,RPC Inc,4.04,N/A,PXJ
LBRT,Liberty Oilfield Services Inc,3.92,N/A,PXJ
RIG,Transocean Inc,3.84,N/A,PXJ
NE,Noble Corp Plc,3.81,N/A,PXJ
CLB,Core Laboratories N.V.,3.68,N/A,PXJ
XPRO,Expro Group Hldgs N.V.,3.46,N/A,PXJ
PUMP,Propetro Holding Corp,3.45,N/A,PXJ
WHD,Cactus Inc Cl A,3.43,N/A,PXJ
AROC,Archrock Inc,3.34,N/A,PXJ
USAC,USA Compression Partners LP,3.26,N/A,PXJ
WFRD,Weatherford International Plc,3.26,N/A,PXJ
FRO,Frontline Ltd,3.04,N/A,PXJ
OII,Oceaneering International,2.97,N/A,PXJ
AGPXX,Invesco Government & Agency Portfolio Institutio,0.19,N/A,PXJ
