symbol,name,percent,shares,fund
SWN,Southwestern Energy Company,2.91,N/A,XOP
EQT,Eqt Corp,2.82,N/A,XOP
AR,Antero Resources Corp,2.48,N/A,XOP
CNX,CNX Resources Corp,2.40,N/A,XOP
HES,Hess Corp,2.40,N/A,XOP
LPI,Laredo Petroleum Holdings Inc,2.40,N/A,XOP
RRC,Range Resources Corp,2.39,N/A,XOP
VLO,Valero Energy Corp,2.37,N/A,XOP
OVV,Ovintiv Inc,2.35,N/A,XOP
CDEV,Centennial Resource Development Inc,2.35,N/A,XOP
MUR,Murphy Oil Corp,2.35,N/A,XOP
MPC,Marathon Petroleum Corp,2.29,N/A,XOP
PDCE,Pdc Energy Inc,2.29,N/A,XOP
MRO,Marathon Oil Corp,2.26,N/A,XOP
DINO,HF Sinclair Corp,2.24,N/A,XOP
FANG,Diamondback Energy,2.22,N/A,XOP
SM,Sm Energy Company,2.21,N/A,XOP
PXD,Pioneer Natural Resources Company,2.21,N/A,XOP
APA,Apa Corp,2.20,N/A,XOP
CLR,Continental Resources,2.19,N/A,XOP
KOS,Kosmos Energy Ltd,2.19,N/A,XOP
CTRA,Coterra Energy Inc,2.19,N/A,XOP
EOG,Eog Resources,2.19,N/A,XOP
CPE,Callon Petroleum Company,2.16,N/A,XOP
PSX,Phillips 66,2.16,N/A,XOP
CIVI,Civitas Resources Inc,2.16,N/A,XOP
DVN,Devon Energy Corp,2.16,N/A,XOP
PBF,PBF Energy Inc,2.15,N/A,XOP
COP,Conocophillips,2.13,N/A,XOP
MTDR,Matador Resources Company,2.11,N/A,XOP
XOM,Exxon Mobil Corp,2.10,N/A,XOP
TELL,Tellurian Inc,2.09,N/A,XOP
OXY,Occidental Petroleum Corp,2.09,N/A,XOP
CVX,Chevron Corp,2.05,N/A,XOP
DEN,Denbury Inc,1.87,N/A,XOP
CRK,Comstock Resources,1.70,N/A,XOP
GEVO,Gevo Inc,1.60,N/A,XOP
MGY,Magnolia Oil & Gas Corp,1.59,N/A,XOP
OAS,Oasis Petroleum Inc,1.48,N/A,XOP
TPL,Texas Pacific Land Trust,1.46,N/A,XOP
CRC,California Resources Corp,1.45,N/A,XOP
WLL,Whiting Petroleum Corp,1.32,N/A,XOP
REGI,Renewable Energy,1.29,N/A,XOP
GPRE,Green Plains Inc,1.21,N/A,XOP
NOG,Northern Oil and Gas,1.11,N/A,XOP
CLNE,Clean Energy Fuels,1.00,N/A,XOP
DK,Delek US Holdings,0.78,N/A,XOP
TALO,Talos Energy Inc,0.65,N/A,XOP
CVI,Cvr Energy Inc,0.52,N/A,XOP
LFG,Archaea Energy Inc,0.49,N/A,XOP
INT,World Fuel Services Corp,0.44,N/A,XOP
ROCC,Ranger Oil Corp,0.40,N/A,XOP
ALTO,Alto Ingredients Inc,0.39,N/A,XOP
WTI,W&T Offshore,0.37,N/A,XOP
AMTX,Aemetis Inc,0.32,N/A,XOP
MNRL,Brigham Minerals Inc,0.30,N/A,XOP
PARR,Par Petroleum Corp,0.30,N/A,XOP
GPOR,Gulfport Energy Corp,0.22,N/A,XOP
CRGY,Crescent Energy Company Cl A,0.17,N/A,XOP
BRY,Berry Pete Corp,0.15,N/A,XOP
REX,Rex American Resources Corp,0.10,N/A,XOP
XOP,S&P Oil & Gas Expl & Prod SPDR,0.00,N/A,XOP
