date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-08,ARKF,BLOCK INC,SQ,852234103,1263614,159126911.02,11.12
2022-04-08,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,857581,142521386.39,9.96
2022-04-08,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,214018,137821171.46,9.63
2022-04-08,ARKF,TWILIO INC - A,TWLO,90138F102,723244,110352569.52,7.71
2022-04-08,ARKF,DISCOVERY LTD,DSY,6177878,5961361,72654118.77,5.08
2022-04-08,ARKF,MERCADOLIBRE INC,MELI,58733R102,61043,71611985.02,5.01
2022-04-08,ARKF,SEA LTD-ADR,SE,81141R100,615059,71500608.75,5.00
2022-04-08,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,478287,62292098.88,4.35
2022-04-08,ARKF,UIPATH INC - CLASS A,PATH,90364P105,2890690,60935745.20,4.26
2022-04-08,ARKF,TELADOC HEALTH INC,TDOC,87918A105,884837,60867937.23,4.25
2022-04-08,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,4831934,58321443.38,4.08
2022-04-08,ARKF,ADYEN NV,ADYEN,BZ1HM42,30234,56704158.74,3.96
2022-04-08,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1044677,50666834.50,3.54
2022-04-08,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,2332577,40120324.40,2.80
2022-04-08,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,157631,32418391.46,2.27
2022-04-08,ARKF,STONECO LTD-A,STNE,G85158106,2675109,30094976.25,2.10
2022-04-08,ARKF,TOAST INC-CLASS A,TOST,888787108,1469315,28019837.05,1.96
2022-04-08,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,2852532,20852008.92,1.46
2022-04-08,ARKF,JD.COM INC-ADR,JD,47215P106,357857,20433634.70,1.43
2022-04-08,ARKF,Z HOLDINGS CORP,4689,6084848,4569284,18973098.91,1.33
2022-04-08,ARKF,INTUIT INC,INTU,461202103,37757,18690092.57,1.31
2022-04-08,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,562615,17953044.65,1.25
2022-04-08,ARKF,ETSY INC,ETSY,29786A106,139986,16931306.70,1.18
2022-04-08,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,119270,15490787.60,1.08
2022-04-08,ARKF,TWITTER INC,TWTR,90184L102,301741,14492620.23,1.01
2022-04-08,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,212196,13707861.60,0.96
2022-04-08,ARKF,LENDINGCLUB CORP,LC,52603A208,925965,13537608.30,0.95
2022-04-08,ARKF,FARFETCH LTD-CLASS A,FTCH,30744W107,738310,11037734.50,0.77
2022-04-08,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,607059,1453906.31,0.10
2022-04-08,ARKF,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1131173,1131173.32,0.08
2022-04-08,ARKF,SOUTH AFRICAN RAND,,ZAR,137,9.27,0.00
