date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-08,ARKW,TESLA INC,TSLA,88160R101,194361,205490110.86,9.07
2022-04-08,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,1170894,194590873.86,8.59
2022-04-08,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,6162630,187220699.40,8.26
2022-04-08,ARKW,BLOCK INC,SQ,852234103,1142442,143867721.06,6.35
2022-04-08,ARKW,ROKU INC,ROKU,77543R102,1114676,130606586.92,5.76
2022-04-08,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1112565,127188430.80,5.61
2022-04-08,ARKW,TELADOC HEALTH INC,TDOC,87918A105,1829913,125879715.27,5.55
2022-04-08,ARKW,TWILIO INC - A,TWLO,90138F102,686555,104754561.90,4.62
2022-04-08,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,704656,99631311.84,4.40
2022-04-08,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,134938,86896023.86,3.83
2022-04-08,ARKW,UNITY SOFTWARE INC,U,91332U101,869681,81628258.66,3.60
2022-04-08,ARKW,SEA LTD-ADR,SE,81141R100,642593,74701436.25,3.30
2022-04-08,ARKW,DRAFTKINGS INC - CL A,DKNG,26142R104,4113930,70759596.00,3.12
2022-04-08,ARKW,UIPATH INC - CLASS A,PATH,90364P105,3025103,63769171.24,2.81
2022-04-08,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,1409086,63028416.78,2.78
2022-04-08,ARKW,TWITTER INC,TWTR,90184L102,1021311,49053567.33,2.16
2022-04-08,ARKW,PAGERDUTY INC,PD,69553P100,1522281,48819551.67,2.15
2022-04-08,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,3926427,47391973.89,2.09
2022-04-08,ARKW,MERCADOLIBRE INC,MELI,58733R102,33631,39453871.34,1.74
2022-04-08,ARKW,OKTA INC,OKTA,679295105,210833,31112625.81,1.37
2022-04-08,ARKW,NEXTDOOR HOLDINGS INC,KIND,65345M108,5160437,28743634.09,1.27
2022-04-08,ARKW,MONDAY.COM LTD,MNDY,M7S64H106,194242,28211708.08,1.24
2022-04-08,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,243557,27366064.52,1.21
2022-04-08,ARKW,VERACYTE INC,VCYT,92337F107,1017222,27058105.20,1.19
2022-04-08,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,122135,26506959.05,1.17
2022-04-08,ARKW,VUZIX CORP,VUZI,92921W300,4295359,26072829.13,1.15
2022-04-08,ARKW,NANO DIMENSION LTD - ADR,NNDM,63008G203,7836711,25234209.42,1.11
2022-04-08,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,5339745,23227890.75,1.02
2022-04-08,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,1171148,22240100.52,0.98
2022-04-08,ARKW,2U INC,TWOU,90214J101,1185416,15019220.72,0.66
2022-04-08,ARKW,ENDEAVOR GROUP HOLD-CLASS A,EDR  UN,29260Y109,480000,13195200.00,0.58
2022-04-08,ARKW,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,1625468,11882171.08,0.52
2022-04-08,ARKW,WALT DISNEY CO/THE,DIS,254687106,79741,10515445.67,0.46
2022-04-08,ARKW,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,4924930,4924929.60,0.22
2022-04-08,ARKW,SPLUNK INC,SPLK,848637104,1641,223372.92,0.01
2022-04-08,ARKW,PELOTON INTERACTIVE INC-A,PTON,70614W100,8724,209899.44,0.01
2022-04-08,ARKW,SNOWFLAKE INC-CLASS A,SNOW,833445109,86,18393.68,0.00
