date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-08,ARKK,TESLA INC,TSLA,88160R101,1075676,1137269207.76,10.17
2022-04-08,ARKK,TELADOC HEALTH INC,TDOC,87918A105,10687340,735182118.60,6.58
2022-04-08,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,6281437,718093877.84,6.42
2022-04-08,ARKK,ROKU INC,ROKU,77543R102,6121141,717214090.97,6.42
2022-04-08,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,4194722,697120849.18,6.24
2022-04-08,ARKK,BLOCK INC,SQ,852234103,4994046,628900212.78,5.63
2022-04-08,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,8312037,569956377.09,5.10
2022-04-08,ARKK,UNITY SOFTWARE INC,U,91332U101,5772589,541815203.54,4.85
2022-04-08,ARKK,TWILIO INC - A,TWLO,90138F102,3061783,467166850.14,4.18
2022-04-08,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3139438,443885138.82,3.97
2022-04-08,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,6083815,388999131.10,3.48
2022-04-08,ARKK,UIPATH INC - CLASS A,PATH,90364P105,18131225,382206223.00,3.42
2022-04-08,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,5708948,376562210.08,3.37
2022-04-08,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,5953964,317763058.68,2.84
2022-04-08,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,470137,302754123.89,2.71
2022-04-08,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,14470689,248895850.80,2.23
2022-04-08,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,6159056,243713845.92,2.18
2022-04-08,ARKK,PAGERDUTY INC,PD,69553P100,7171429,229987728.03,2.06
2022-04-08,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,18086766,218307265.62,1.95
2022-04-08,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,11519181,198014721.39,1.77
2022-04-08,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,3997432,178805133.36,1.60
2022-04-08,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2402849,176128831.70,1.58
2022-04-08,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,3004445,145114693.50,1.30
2022-04-08,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,38921237,132721418.17,1.19
2022-04-08,ARKK,SEA LTD-ADR,SE,81141R100,1118309,130003421.25,1.16
2022-04-08,ARKK,VERACYTE INC,VCYT,92337F107,4890988,130100280.80,1.16
2022-04-08,ARKK,INVITAE CORP,NVTA,46185L103,17057473,127589898.04,1.14
2022-04-08,ARKK,STRATASYS LTD,SSYS,M85548101,4782086,109031560.80,0.98
2022-04-08,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,12400778,108754823.06,0.97
2022-04-08,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,8264820,92235391.20,0.83
2022-04-08,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,3907145,74157612.10,0.66
2022-04-08,ARKK,2U INC,TWOU,90214J101,5642978,71496531.26,0.64
2022-04-08,ARKK,CERUS CORP,CERS,157085101,10269909,54738614.97,0.49
2022-04-08,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,34676991,34676991.41,0.31
2022-04-08,ARKK,BERKELEY LIGHTS INC,BLI,084310101,4807324,30478434.16,0.27
2022-04-08,ARKK,COMPUGEN LTD,CGEN,M25722105,5885952,18305310.72,0.16
