symbol,name,percent,shares,fund
HAL,Halliburton Company,23.26,N/A,IEZ
SLB,Schlumberger N.V.,21.40,N/A,IEZ
HP,Helmerich & Payne,4.80,N/A,IEZ
BKR,Baker Hughes A Ge Co. Cl A,4.72,N/A,IEZ
CHX,Championx Corp,4.21,N/A,IEZ
VAL,Valaris Ltd,4.11,N/A,IEZ
NOV,Nov Inc,4.07,N/A,IEZ
PTEN,Patterson-Uti Energy,3.91,N/A,IEZ
WHD,Cactus Inc Cl A,3.86,N/A,IEZ
FTI,Technipfmc Plc,3.80,N/A,IEZ
RIG,Transocean Inc,3.15,N/A,IEZ
LBRT,Liberty Oilfield Services Inc,1.87,N/A,IEZ
NEX,Nextier Oilfield Solutions Inc,1.81,N/A,IEZ
OII,Oceaneering International,1.76,N/A,IEZ
CLB,Core Laboratories N.V.,1.76,N/A,IEZ
SLCA,U.S. Silica Holdings Inc,1.67,N/A,IEZ
DRQ,Dril-Quip,1.47,N/A,IEZ
AROC,Archrock Inc,1.47,N/A,IEZ
NBR,Nabors Industries,1.46,N/A,IEZ
PUMP,Propetro Holding Corp,1.39,N/A,IEZ
VTOL,Bristow Group Inc,0.96,N/A,IEZ
RES,RPC Inc,0.93,N/A,IEZ
HLX,Helix Energy Solutions Group,0.83,N/A,IEZ
BOOM,Dynamic Materials,0.67,N/A,IEZ
XPRO,Expro Group Hldgs N.V.,0.61,N/A,IEZ
IEZ,US Oil Equipment & Services Ishares ETF,0.00,N/A,IEZ
