date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-08,IZRL,TUFIN SOFTWARE TECHNOLOGIES,TUFN,M8893U102,291834,3788005.32,2.40
2022-04-08,IZRL,RADA ELECTRONIC INDS LTD,RADA,M81863124,264082,3734119.48,2.36
2022-04-08,IZRL,SOLAREDGE TECHNOLOGIES INC,SEDG,83417M104,11420,3596500.60,2.28
2022-04-08,IZRL,ENLIVEX THERAPEUTICS LTD,ENLV,M4130Y106,434343,3548582.31,2.25
2022-04-08,IZRL,PERION NETWORK LTD,PERI,M78673114,136790,3533285.70,2.24
2022-04-08,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,M87915274,71667,3476566.17,2.20
2022-04-08,IZRL,GAMIDA CELL LTD,GMDA,M47364100,853501,3379863.96,2.14
2022-04-08,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,BG1YKN5,23439,3336566.65,2.11
2022-04-08,IZRL,ELBIT SYSTEMS LTD,ESLT,6308913,15050,3251990.16,2.06
2022-04-08,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,18812,3111128.56,1.97
2022-04-08,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,881624209,300012,3054122.16,1.93
2022-04-08,IZRL,NANO-X IMAGING LTD,NNOX,M70700105,228841,2988663.46,1.89
2022-04-08,IZRL,CHECK POINT SOFTWARE TECH,CHKP,M22465104,20647,2974819.76,1.88
2022-04-08,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,M51474118,331137,2798107.65,1.77
2022-04-08,IZRL,UROGEN PHARMA LTD,URGN UQ,M96088105,333472,2787825.92,1.76
2022-04-08,IZRL,PLAYTIKA HOLDING CORP,PLTK,72815L107,138261,2740333.02,1.73
2022-04-08,IZRL,HILAN LTD,HLAN,6267230,42961,2740763.33,1.73
2022-04-08,IZRL,CELLCOM ISRAEL LTD,CEL,B23WQK8,463242,2621380.87,1.66
2022-04-08,IZRL,STRATASYS LTD,SSYS,M85548101,114073,2600864.40,1.65
2022-04-08,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,6987709,147300,2589935.18,1.64
2022-04-08,IZRL,PARTNER COMMUNICATIONS CO,PTNR,6374420,322300,2578679.21,1.63
2022-04-08,IZRL,JFROG LTD,FROG,M6191J100,100706,2530741.78,1.60
2022-04-08,IZRL,RISKIFIED LTD-A,RSKD,M8216R109,385757,2511278.07,1.59
2022-04-08,IZRL,ELECTRA CONSUMER PRODUCTS 19,ECP,B536CY7,41192,2515756.01,1.59
2022-04-08,IZRL,ITURAN LOCATION AND CONTROL,ITRN,M6158M104,104659,2511816.00,1.59
2022-04-08,IZRL,RADWARE LTD,RDWR,M81873107,78207,2498713.65,1.58
2022-04-08,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,6098032,1487849,2494977.52,1.58
2022-04-08,IZRL,INNOVIZ TECHNOLOGIES LTD,INVZ UR,M5R635108,686524,2457755.92,1.56
2022-04-08,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,6328074,138786,2447535.54,1.55
2022-04-08,IZRL,MATRIX IT LTD,MTRX,6747754,95136,2451875.32,1.55
2022-04-08,IZRL,NANO DIMENSION LTD - ADR,NNDM,63008G203,761080,2450677.60,1.55
2022-04-08,IZRL,KAMADA LTD,KMDA,B0L2CR5,421241,2404559.33,1.52
2022-04-08,IZRL,CELLEBRITE DI LTD,CLBT,M2197Q107,409584,2367395.52,1.50
2022-04-08,IZRL,PRIORTECH LTD,PRTC,6677776,77137,2366268.13,1.50
