symbol,name,percent,shares,fund
OXY,Occidental Petroleum Corp,4.49,N/A,FCG
EQT,Eqt Corp,4.48,N/A,FCG
DCP,Dcp Midstream LP,4.09,N/A,FCG
COP,Conocophillips,3.78,N/A,FCG
WES,Western Midstream Partners LP,3.75,N/A,FCG
SWN,Southwestern Energy Company,3.73,N/A,FCG
EOG,Eog Resources,3.70,N/A,FCG
AR,Antero Resources Corp,3.59,N/A,FCG
CTRA,Coterra Energy Inc,3.36,N/A,FCG
PXD,Pioneer Natural Resources Company,3.35,N/A,FCG
DVN,Devon Energy Corp,3.34,N/A,FCG
HES,Hess Corp,3.32,N/A,FCG
MRO,Marathon Oil Corp,3.30,N/A,FCG
APA,Apa Corp,3.29,N/A,FCG
RRC,Range Resources Corp,3.20,N/A,FCG
FANG,Diamondback Energy,3.16,N/A,FCG
HESM,Hess Midstream Partners LP,3.11,N/A,FCG
OVV,Ovintiv Inc,2.96,N/A,FCG
CHK,Chesapeake Energy Corp,2.93,N/A,FCG
PDCE,Pdc Energy Inc,2.52,N/A,FCG
MUR,Murphy Oil Corp,2.41,N/A,FCG
MTDR,Matador Resources Company,2.31,N/A,FCG
SM,Sm Energy Company,2.14,N/A,FCG
CIVI,Civitas Resources Inc,2.12,N/A,FCG
CPE,Callon Petroleum Company,1.99,N/A,FCG
CNX,CNX Resources Corp,1.96,N/A,FCG
NFG,National Fuel Gas Company,1.92,N/A,FCG
MGY,Magnolia Oil & Gas Corp,1.70,N/A,FCG
OAS,Oasis Petroleum Inc,1.45,N/A,FCG
TELL,Tellurian Inc,1.40,N/A,FCG
CDEV,Centennial Resource Development Inc,1.39,N/A,FCG
CRK,Comstock Resources,1.36,N/A,FCG
ERF,Enerplus Corp,1.22,N/A,FCG
WLL,Whiting Petroleum Corp,1.22,N/A,FCG
LPI,Laredo Petroleum Holdings Inc,1.10,N/A,FCG
VET,Vermilion Energy Inc,1.07,N/A,FCG
GPOR,Gulfport Energy Corp,0.90,N/A,FCG
TALO,Talos Energy Inc,0.69,N/A,FCG
SD,Sandridge Energy Inc,0.65,N/A,FCG
CRGY,Crescent Energy Company Cl A,0.53,N/A,FCG
WTI,W&T Offshore,0.31,N/A,FCG
OBE,Obsidian Energy Ltd,0.27,N/A,FCG
ESTE,Earthstone Energy,0.19,N/A,FCG
SBOW,Silverbow Resources Inc,0.13,N/A,FCG
