date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-04,ARKQ,TESLA INC,TSLA,88160R101,166423,"$180,500,721.57",10.98
2022-04-04,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,6808904,"$140,944,312.80",8.57
2022-04-04,ARKQ,TRIMBLE INC,TRMB,896239100,1587662,"$115,550,040.36",7.03
2022-04-04,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,3799522,"$84,273,397.96",5.13
2022-04-04,ARKQ,AEROVIRONMENT INC,AVAV,008073108,823891,"$77,676,443.48",4.73
2022-04-04,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,1778970,"$74,289,787.20",4.52
2022-04-04,ARKQ,DEERE & CO,DE,244199105,175729,"$73,243,847.20",4.46
2022-04-04,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,2932213,"$70,343,789.87",4.28
2022-04-04,ARKQ,VELO3D INC,VLD,92259N104,5955189,"$56,574,295.50",3.44
2022-04-04,ARKQ,BLADE AIR MOBILITY INC,BLDE,092667104,6445857,"$55,434,370.20",3.37
2022-04-04,ARKQ,3D SYSTEMS CORP,DDD,88554D205,3170658,"$53,330,467.56",3.24
2022-04-04,ARKQ,UNITY SOFTWARE INC,U,91332U101,495201,"$48,985,282.92",2.98
2022-04-04,ARKQ,MARKFORGED HOLDING CORP,MKFG,57064N102,10687080,"$43,923,898.80",2.67
2022-04-04,ARKQ,ARCHER AVIATION INC-A,ACHR,03945R102,8786369,"$41,735,252.75",2.54
2022-04-04,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,3068855,"$36,611,440.15",2.23
2022-04-04,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,164666,"$36,221,580.02",2.20
2022-04-04,ARKQ,TERADYNE INC,TER,880770102,309672,"$36,036,530.64",2.19
2022-04-04,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,12282,"$34,561,548.00",2.10
2022-04-04,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,481833,"$27,849,947.40",1.69
2022-04-04,ARKQ,XPENG INC - ADR,XPEV,98422D105,928648,"$27,107,235.12",1.65
2022-04-04,ARKQ,STRATASYS LTD,SSYS,M85548101,1035570,"$26,438,102.10",1.61
2022-04-04,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,7561155,"$26,161,596.30",1.59
2022-04-04,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,406924,"$26,177,420.92",1.59
2022-04-04,ARKQ,PROTO LABS INC,PRLB,743713109,472887,"$25,365,658.68",1.54
2022-04-04,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,177142,"$24,971,707.74",1.52
2022-04-04,ARKQ,CATERPILLAR INC,CAT,149123101,111481,"$24,500,179.37",1.49
2022-04-04,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,2463380,"$24,239,659.20",1.47
2022-04-04,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1148701,"$22,905,097.94",1.39
2022-04-04,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,40039,"$18,990,497.70",1.16
2022-04-04,ARKQ,SYNOPSYS INC,SNPS,871607107,56438,"$18,905,601.24",1.15
2022-04-04,ARKQ,ANSYS INC,ANSS,03662Q105,55361,"$17,521,202.89",1.07
2022-04-04,ARKQ,VUZIX CORP,VUZI,92921W300,2444361,"$16,035,008.16",0.98
2022-04-04,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,48494,"$14,816,856.76",0.90
2022-04-04,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,32261,"$14,387,760.78",0.88
2022-04-04,ARKQ,2U INC,TWOU,90214J101,716797,"$9,676,759.50",0.59
2022-04-04,ARKQ,NIO INC - ADR,NIO,62914V106,420057,"$9,211,850.01",0.56
2022-04-04,ARKQ,MATTERPORT INC,MTTR,577096100,534829,"$4,406,990.96",0.27
2022-04-04,ARKQ,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,3482764,"$3,482,763.90",0.21
2022-04-04,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,101738,"$377,447.98",0.02
