date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-04,PRNT,VELO3D INC,VLD,92259N104,1607776,"$15,273,872.00",5.20
2022-04-04,PRNT,DESKTOP METAL INC-A,DM,25058X105,2500387,"$11,851,834.38",4.04
2022-04-04,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,170595,"$10,883,961.00",3.71
2022-04-04,PRNT,MICROSOFT CORP,MSFT,594918104,33897,"$10,488,409.74",3.57
2022-04-04,PRNT,TRIMBLE INC,TRMB,896239100,140782,"$10,246,113.96",3.49
2022-04-04,PRNT,STRATASYS LTD,SSYS,M85548101,395167,"$10,088,613.51",3.44
2022-04-04,PRNT,ANSYS INC,ANSS,03662Q105,30681,"$9,710,229.69",3.31
2022-04-04,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,180147,"$9,558,599.82",3.26
2022-04-04,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,195550,"$9,578,964.40",3.26
2022-04-04,PRNT,PROTO LABS INC,PRLB,743713109,177768,"$9,535,475.52",3.25
2022-04-04,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,476390,"$9,499,216.60",3.24
2022-04-04,PRNT,PTC INC,PTC,69370C100,88321,"$9,430,033.17",3.21
2022-04-04,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,600065,"$9,280,927.55",3.16
2022-04-04,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,2681040,"$9,276,398.40",3.16
2022-04-04,PRNT,AUTODESK INC,ADSK,052769106,41707,"$8,885,259.28",3.03
2022-04-04,PRNT,HP INC,HPQ,40434L105,248023,"$8,829,618.80",3.01
2022-04-04,PRNT,ATLANTIC COASTAL ACQUISITI-A,ACAH,048453104,865068,"$8,460,365.04",2.88
2022-04-04,PRNT,CONFORMIS INC,CFMS,20717E101,13033628,"$8,341,521.92",2.84
2022-04-04,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,5178,"$8,327,880.06",2.84
2022-04-04,PRNT,3D SYSTEMS CORP,DDD,88554D205,463806,"$7,801,216.92",2.66
2022-04-04,PRNT,RENISHAW PLC,RSW,0732358,143086,"$7,325,618.91",2.49
2022-04-04,PRNT,MARKFORGED HOLDING CORP,MKFG,57064N102,1758608,"$7,227,878.88",2.46
2022-04-04,PRNT,BICO GROUP AB,BICO,BKMFJ94,374380,"$6,867,340.82",2.34
2022-04-04,PRNT,XOMETRY INC-A,XMTR,98423F109,173264,"$6,495,667.36",2.21
2022-04-04,PRNT,FATHOM DIGITAL MANUFACTURING,FATH,31189Y103,886752,"$6,136,323.84",2.09
2022-04-04,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,373226,"$5,379,704.99",1.83
2022-04-04,PRNT,AMETEK INC,AME,031100100,37108,"$4,986,573.04",1.70
2022-04-04,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,10346,"$4,618,557.86",1.57
2022-04-04,PRNT,MOOG INC-CLASS A,MOG/A,615394202,46282,"$4,139,924.90",1.41
