date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-04,ARKF,BLOCK INC,SQ,852234103,1259999,"$168,361,066.38",11.01
2022-04-04,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,855127,"$159,874,543.92",10.45
2022-04-04,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,213406,"$147,890,358.00",9.67
2022-04-04,ARKF,TWILIO INC - A,TWLO,90138F102,721174,"$122,238,993.00",7.99
2022-04-04,ARKF,MERCADOLIBRE INC,MELI,58733R102,60869,"$74,511,568.97",4.87
2022-04-04,ARKF,SEA LTD-ADR,SE,81141R100,613301,"$74,270,751.10",4.86
2022-04-04,ARKF,DISCOVERY LTD,DSY,6177878,5944312,"$73,678,209.66",4.82
2022-04-04,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,476919,"$71,380,466.73",4.67
2022-04-04,ARKF,TELADOC HEALTH INC,TDOC,87918A105,884837,"$65,274,425.49",4.27
2022-04-04,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,4818113,"$65,044,525.50",4.25
2022-04-04,ARKF,UIPATH INC - CLASS A,PATH,90364P105,2882422,"$63,932,119.96",4.18
2022-04-04,ARKF,ADYEN NV,ADYEN,BZ1HM42,30147,"$59,749,130.56",3.91
2022-04-04,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1041689,"$50,969,842.77",3.33
2022-04-04,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,2325905,"$44,308,490.25",2.90
2022-04-04,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,157181,"$36,544,582.50",2.39
2022-04-04,ARKF,TOAST INC-CLASS A,TOST,888787108,1465112,"$33,345,949.12",2.18
2022-04-04,ARKF,STONECO LTD-A,STNE,G85158106,2667459,"$32,382,952.26",2.12
2022-04-04,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,2844372,"$22,925,638.32",1.50
2022-04-04,ARKF,JD.COM INC-ADR,JD,47215P106,356834,"$21,085,321.06",1.38
2022-04-04,ARKF,Z HOLDINGS CORP,4689,6084848,4556384,"$19,880,848.06",1.30
2022-04-04,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,561007,"$19,231,319.96",1.26
2022-04-04,ARKF,INTUIT INC,INTU,461202103,37649,"$18,219,480.57",1.19
2022-04-04,ARKF,ETSY INC,ETSY,29786A106,139587,"$17,734,528.35",1.16
2022-04-04,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,118928,"$15,781,745.60",1.03
2022-04-04,ARKF,LENDINGCLUB CORP,LC,52603A208,923316,"$14,449,895.40",0.94
2022-04-04,ARKF,TWITTER INC,TWTR,90184L102,300877,"$11,827,474.87",0.77
2022-04-04,ARKF,FARFETCH LTD-CLASS A,FTCH,30744W107,736198,"$11,624,566.42",0.76
2022-04-04,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,211590,"$10,833,408.00",0.71
2022-04-04,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,607059,"$1,453,906.31",0.10
2022-04-04,ARKF,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,822804,"$822,804.12",0.05
2022-04-04,ARKF,SOUTH AFRICAN RAND,,ZAR,137,$9.34,0.00
