date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-04,ARKX,TRIMBLE INC,TRMB,896239100,516131,"$37,564,014.18",8.88
2022-04-04,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,1763191,"$36,498,053.70",8.63
2022-04-04,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,987008,"$29,067,385.60",6.87
2022-04-04,ARKX,AEROVIRONMENT INC,AVAV,008073108,281007,"$26,493,339.96",6.26
2022-04-04,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,100798,"$25,519,029.66",6.03
2022-04-04,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,575195,"$24,020,143.20",5.68
2022-04-04,ARKX,KOMATSU LTD,6301,6496584,870288,"$20,818,876.92",4.92
2022-04-04,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,1930573,"$16,602,927.80",3.92
2022-04-04,ARKX,VELO3D INC,VLD,92259N104,1630320,"$15,488,040.00",3.66
2022-04-04,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,255243,"$12,503,010.03",2.96
2022-04-04,ARKX,AMAZON.COM INC,AMZN,023135106,3697,"$12,093,626.40",2.86
2022-04-04,ARKX,DEERE & CO,DE,244199105,27830,"$11,599,544.00",2.74
2022-04-04,ARKX,JD LOGISTICS INC,2618,BNMBPD9,4555126,"$10,989,938.52",2.60
2022-04-04,ARKX,UNITY SOFTWARE INC,U,91332U101,105401,"$10,426,266.92",2.46
2022-04-04,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,2134553,"$10,139,126.75",2.40
2022-04-04,ARKX,UIPATH INC - CLASS A,PATH,90364P105,455737,"$10,108,246.66",2.39
2022-04-04,ARKX,GARMIN LTD,GRMN U,B3Z5T14,85973,"$9,982,325.03",2.36
2022-04-04,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,191224,"$9,364,239.28",2.21
2022-04-04,ARKX,JOBY AVIATION INC,JOBY,G65163100,1416867,"$9,167,129.49",2.17
2022-04-04,ARKX,MARKFORGED HOLDING CORP,MKFG,57064N102,2135072,"$8,775,145.92",2.07
2022-04-04,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,37457,"$8,239,416.29",1.95
2022-04-04,ARKX,ALPHABET INC-CL C,GOOG,02079K107,2899,"$8,157,786.00",1.93
2022-04-04,ARKX,TERADYNE INC,TER,880770102,70002,"$8,146,132.74",1.93
2022-04-04,ARKX,THALES SA,HO,4162791,51960,"$6,463,571.89",1.53
2022-04-04,ARKX,MYNARIC AG,MYNA,62857X101,547935,"$6,328,649.25",1.50
2022-04-04,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,29482,"$5,779,356.46",1.37
2022-04-04,ARKX,HEICO CORP,HEI,422806109,29102,"$4,550,097.70",1.08
2022-04-04,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,9572,"$4,539,999.60",1.07
2022-04-04,ARKX,AIRBUS SE,AIR,4012250,36936,"$4,530,187.06",1.07
2022-04-04,ARKX,SYNOPSYS INC,SNPS,871607107,12927,"$4,330,286.46",1.02
2022-04-04,ARKX,3D SYSTEMS CORP,DDD,88554D205,255064,"$4,290,176.48",1.01
2022-04-04,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,8848,"$3,946,031.04",0.93
2022-04-04,ARKX,ANSYS INC,ANSS,03662Q105,12246,"$3,875,736.54",0.92
2022-04-04,ARKX,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1700224,"$1,700,223.76",0.40
2022-04-04,ARKX,PROTO LABS INC,PRLB,743713109,13690,"$734,331.60",0.17
