date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-04,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,1179442,"$220,508,476.32",9.08
2022-04-04,ARKW,TESLA INC,TSLA,88160R101,195781,"$212,342,114.79",8.74
2022-04-04,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,6207614,"$198,954,028.70",8.19
2022-04-04,ARKW,BLOCK INC,SQ,852234103,1150782,"$153,767,490.84",6.33
2022-04-04,ARKW,ROKU INC,ROKU,77543R102,1122812,"$140,980,274.72",5.81
2022-04-04,ARKW,TELADOC HEALTH INC,TDOC,87918A105,1843269,"$135,977,954.13",5.60
2022-04-04,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1120685,"$132,263,243.70",5.45
2022-04-04,ARKW,TWILIO INC - A,TWLO,90138F102,691567,"$117,220,606.50",4.83
2022-04-04,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,709800,"$109,096,260.00",4.49
2022-04-04,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,135922,"$94,193,946.00",3.88
2022-04-04,ARKW,UNITY SOFTWARE INC,U,91332U101,876029,"$86,656,788.68",3.57
2022-04-04,ARKW,DRAFTKINGS INC - CL A,DKNG,26142R104,4143958,"$78,942,399.90",3.25
2022-04-04,ARKW,SEA LTD-ADR,SE,81141R100,647285,"$78,386,213.50",3.23
2022-04-04,ARKW,UIPATH INC - CLASS A,PATH,90364P105,3047187,"$67,586,607.66",2.78
2022-04-04,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,1419374,"$65,319,591.48",2.69
2022-04-04,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,3955087,"$53,393,674.50",2.20
2022-04-04,ARKW,PAGERDUTY INC,PD,69553P100,1533393,"$52,472,708.46",2.16
2022-04-04,ARKW,MERCADOLIBRE INC,MELI,58733R102,33875,"$41,467,403.75",1.71
2022-04-04,ARKW,TWITTER INC,TWTR,90184L102,1028767,"$40,440,830.77",1.67
2022-04-04,ARKW,MONDAY.COM LTD,MNDY,M7S64H106,195662,"$32,360,538.18",1.33
2022-04-04,ARKW,OKTA INC,OKTA,679295105,212373,"$31,598,978.67",1.30
2022-04-04,ARKW,NEXTDOOR HOLDINGS INC,KIND,65345M108,5198105,"$31,396,554.20",1.29
2022-04-04,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,245333,"$30,298,625.50",1.25
2022-04-04,ARKW,VERACYTE INC,VCYT,92337F107,1024646,"$29,735,226.92",1.22
2022-04-04,ARKW,VUZIX CORP,VUZI,92921W300,4326715,"$28,383,250.40",1.17
2022-04-04,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,123027,"$28,031,701.95",1.15
2022-04-04,ARKW,NANO DIMENSION LTD - ADR,NNDM,63008G203,7893915,"$27,312,945.90",1.12
2022-04-04,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,5378725,"$24,204,262.50",1.00
2022-04-04,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,1179696,"$23,499,544.32",0.97
2022-04-04,ARKW,2U INC,TWOU,90214J101,1194068,"$16,119,918.00",0.66
2022-04-04,ARKW,ENDEAVOR GROUP HOLD-CLASS A,EDR  UN,29260Y109,483504,"$14,263,368.00",0.59
2022-04-04,ARKW,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,1637337,"$13,196,936.22",0.54
2022-04-04,ARKW,WALT DISNEY CO/THE,DIS,254687106,80325,"$11,004,525.00",0.45
2022-04-04,ARKW,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,6334771,"$6,334,770.86",0.26
2022-04-04,ARKW,SPLUNK INC,SPLK,848637104,1653,"$244,429.11",0.01
2022-04-04,ARKW,PELOTON INTERACTIVE INC-A,PTON,70614W100,8788,"$231,212.28",0.01
2022-04-04,ARKW,SNOWFLAKE INC-CLASS A,SNOW,833445109,86,"$20,193.66",0.00
