date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-05,ARKF,BLOCK INC,SQ,852234103,1259999,"$182,939,254.81",11.44
2022-04-05,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,855127,"$163,885,089.55",10.25
2022-04-05,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,213406,"$155,208,049.74",9.71
2022-04-05,ARKF,TWILIO INC - A,TWLO,90138F102,721174,"$125,996,309.54",7.88
2022-04-05,ARKF,SEA LTD-ADR,SE,81141R100,613301,"$81,397,308.72",5.09
2022-04-05,ARKF,MERCADOLIBRE INC,MELI,58733R102,60869,"$76,999,893.69",4.82
2022-04-05,ARKF,DISCOVERY LTD,DSY,6177878,5944312,"$73,423,327.19",4.59
2022-04-05,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,476919,"$72,229,382.55",4.52
2022-04-05,ARKF,TELADOC HEALTH INC,TDOC,87918A105,884837,"$67,123,734.82",4.20
2022-04-05,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,4818113,"$66,634,502.79",4.17
2022-04-05,ARKF,UIPATH INC - CLASS A,PATH,90364P105,2882422,"$65,690,397.38",4.11
2022-04-05,ARKF,ADYEN NV,ADYEN,BZ1HM42,30147,"$61,369,521.03",3.84
2022-04-05,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1041689,"$55,542,857.48",3.47
2022-04-05,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,2325905,"$47,471,721.05",2.97
2022-04-05,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,157181,"$38,218,560.15",2.39
2022-04-05,ARKF,TOAST INC-CLASS A,TOST,888787108,1465112,"$35,235,943.60",2.20
2022-04-05,ARKF,STONECO LTD-A,STNE,G85158106,2667459,"$33,503,285.04",2.10
2022-04-05,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,2844372,"$22,954,082.04",1.44
2022-04-05,ARKF,JD.COM INC-ADR,JD,47215P106,356834,"$22,591,160.54",1.41
2022-04-05,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,561007,"$20,370,164.17",1.27
2022-04-05,ARKF,Z HOLDINGS CORP,4689,6084848,4556384,"$19,819,240.47",1.24
2022-04-05,ARKF,ETSY INC,ETSY,29786A106,139587,"$19,007,561.79",1.19
2022-04-05,ARKF,INTUIT INC,INTU,461202103,37649,"$19,037,216.85",1.19
2022-04-05,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,118928,"$15,534,375.36",0.97
2022-04-05,ARKF,TWITTER INC,TWTR,90184L102,300877,"$15,034,823.69",0.94
2022-04-05,ARKF,LENDINGCLUB CORP,LC,52603A208,923316,"$14,634,558.60",0.92
2022-04-05,ARKF,FARFETCH LTD-CLASS A,FTCH,30744W107,736198,"$12,692,053.52",0.79
2022-04-05,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,211590,"$11,362,383.00",0.71
2022-04-05,ARKF,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1736443,"$1,736,442.67",0.11
2022-04-05,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,607059,"$1,453,906.31",0.09
2022-04-05,ARKF,SOUTH AFRICAN RAND,,ZAR,137,$9.37,0.00
