date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-05,PRNT,VELO3D INC,VLD,92259N104,1607776,"$14,132,351.04",4.76
2022-04-05,PRNT,DESKTOP METAL INC-A,DM,25058X105,2500387,"$13,027,016.27",4.38
2022-04-05,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,170595,"$11,052,850.05",3.72
2022-04-05,PRNT,MICROSOFT CORP,MSFT,594918104,33897,"$10,676,538.09",3.59
2022-04-05,PRNT,TRIMBLE INC,TRMB,896239100,140782,"$10,503,745.02",3.53
2022-04-05,PRNT,STRATASYS LTD,SSYS,M85548101,395167,"$10,143,936.89",3.41
2022-04-05,PRNT,ANSYS INC,ANSS,03662Q105,30681,"$9,916,406.01",3.34
2022-04-05,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,476390,"$9,842,217.40",3.31
2022-04-05,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,195550,"$9,778,143.58",3.29
2022-04-05,PRNT,PROTO LABS INC,PRLB,743713109,177768,"$9,723,909.60",3.27
2022-04-05,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,180147,"$9,706,320.36",3.27
2022-04-05,PRNT,PTC INC,PTC,69370C100,88321,"$9,604,908.75",3.23
2022-04-05,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,2681040,"$9,571,312.80",3.22
2022-04-05,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,600065,"$9,387,330.12",3.16
2022-04-05,PRNT,AUTODESK INC,ADSK,052769106,41707,"$9,124,240.39",3.07
2022-04-05,PRNT,HP INC,HPQ,40434L105,248023,"$9,087,562.72",3.06
2022-04-05,PRNT,ATLANTIC COASTAL ACQUISITI-A,ACAH,048453104,865068,"$8,443,063.68",2.84
2022-04-05,PRNT,CONFORMIS INC,CFMS,20717E101,13033628,"$8,245,073.07",2.77
2022-04-05,PRNT,3D SYSTEMS CORP,DDD,88554D205,463806,"$8,135,157.24",2.74
2022-04-05,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,5178,"$8,121,969.46",2.73
2022-04-05,PRNT,RENISHAW PLC,RSW,0732358,143086,"$7,348,618.03",2.47
2022-04-05,PRNT,MARKFORGED HOLDING CORP,MKFG,57064N102,1758608,"$7,315,809.28",2.46
2022-04-05,PRNT,XOMETRY INC-A,XMTR,98423F109,173264,"$7,043,181.60",2.37
2022-04-05,PRNT,BICO GROUP AB,BICO,BKMFJ94,374380,"$7,022,056.32",2.36
2022-04-05,PRNT,FATHOM DIGITAL MANUFACTURING,FATH,31189Y103,886752,"$6,136,323.84",2.06
2022-04-05,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,373226,"$5,514,456.29",1.86
2022-04-05,PRNT,AMETEK INC,AME,031100100,37108,"$4,972,472.00",1.67
2022-04-05,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,10346,"$4,608,004.94",1.55
2022-04-05,PRNT,MOOG INC-CLASS A,MOG/A,615394202,46282,"$4,094,105.72",1.38
2022-04-05,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,28037,"$3,806,583.49",1.28
2022-04-05,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,17934,"$3,680,236.14",1.24
2022-04-05,PRNT,KAISER ALUMINUM CORP,KALU,483007704,36199,"$3,399,448.09",1.14
2022-04-05,PRNT,GENERAL ELECTRIC CO,GE,369604301,36935,"$3,398,758.70",1.14
2022-04-05,PRNT,EXCO TECHNOLOGIES LTD,XTC,2325392,465377,"$3,398,653.30",1.14
2022-04-05,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,007800105,82739,"$3,313,696.95",1.12
2022-04-05,PRNT,SHAPEWAYS HOLDINGS INC,SHPW,81947T102,1367451,"$3,104,113.77",1.04
2022-04-05,PRNT,SIEMENS AG-REG,SIE,5727973,21829,"$3,010,665.34",1.01
2022-04-05,PRNT,ARCONIC CORP,ARNC,03966V107,113307,"$2,953,913.49",0.99
2022-04-05,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,355288,"$2,873,667.04",0.97
2022-04-05,PRNT,MICHELIN (CGDE),ML,4588364,21051,"$2,852,094.81",0.96
2022-04-05,PRNT,MASSIVIT 3D PRINTING TECHNOL,MSVT,BN10861,345461,"$1,610,578.46",0.54
2022-04-05,PRNT,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1533326,"$1,533,325.50",0.52
2022-04-05,PRNT,EASTMAN KODAK CO,KODK,277461406,81536,"$560,967.68",0.19
2022-04-05,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,11368,"$491,893.36",0.17
2022-04-05,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,01741R102,16821,"$468,464.85",0.16
2022-04-05,PRNT,HEXCEL CORP,HXL,428291108,6224,"$364,850.88",0.12
2022-04-05,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,4309,"$322,657.92",0.11
2022-04-05,PRNT,PYROGENESIS CANADA INC,PYR,B43JTF9,134107,"$317,870.53",0.11
2022-04-05,PRNT,5N PLUS INC,VNP,B2B3VZ3,178098,"$340,850.59",0.11
2022-04-05,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,2792,"$311,615.12",0.10
2022-04-05,PRNT,KONINKLIJKE DSM NV,DSM,B0HZL93,1679,"$297,933.44",0.10
2022-04-05,PRNT,XEROX HOLDINGS CORP,XRX,98421M106,15193,"$296,263.50",0.10
2022-04-05,PRNT,3M CO,MMM,88579Y101,1972,"$294,873.16",0.10
2022-04-05,PRNT,SANDVIK AB,SAND,B1VQ252,12591,"$272,608.75",0.09
2022-04-05,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,10299,"$282,235.58",0.09
2022-04-05,PRNT,TORAY INDUSTRIES INC,3402,6897143,53925,"$278,970.13",0.09
2022-04-05,PRNT,ARKEMA,AKE,B0Z5YZ2,2274,"$272,668.45",0.09
2022-04-05,PRNT,SGL CARBON SE,SGL,4818351,43948,"$275,777.87",0.09
2022-04-05,PRNT,VOESTALPINE AG,VOE,4943402,9001,"$259,501.81",0.09
2022-04-05,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,3880,"$257,094.59",0.09
2022-04-05,PRNT,GREAT BRITISH POUND,,GBP,0,$0.31,0.00
