date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-05,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,4479933,"$341,505,292.59",8.82
2022-04-05,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3883347,"$294,590,703.42",7.61
2022-04-05,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,6125456,"$237,238,910.88",6.13
2022-04-05,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,4417113,"$187,241,420.07",4.84
2022-04-05,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,8320841,"$151,772,139.84",3.92
2022-04-05,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1814822,"$138,307,584.62",3.57
2022-04-05,ARKG,CAREDX INC,CDNA,14167L103,3482525,"$138,325,893.00",3.57
2022-04-05,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,1951674,"$135,660,859.74",3.50
2022-04-05,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,12566379,"$131,067,332.97",3.39
2022-04-05,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,2095573,"$130,679,932.28",3.38
2022-04-05,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,2223468,"$120,067,272.00",3.10
2022-04-05,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,417827,"$112,245,045.28",2.90
2022-04-05,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,7654741,"$111,376,481.55",2.88
2022-04-05,ARKG,INCYTE CORP,INCY,45337C102,1252224,"$101,317,443.84",2.62
2022-04-05,ARKG,SCHRODINGER INC,SDGR,80810D103,2813355,"$100,999,444.50",2.61
2022-04-05,ARKG,ACCOLADE INC,ACCD,00437E102,4818107,"$91,062,222.30",2.35
2022-04-05,ARKG,CODEXIS INC,CDXS,192005106,3913927,"$85,636,722.76",2.21
2022-04-05,ARKG,SOMALOGIC INC,SLGC,83444K105,9073793,"$74,949,530.18",1.94
2022-04-05,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,2367242,"$73,786,933.14",1.91
2022-04-05,ARKG,UIPATH INC - CLASS A,PATH,90364P105,3219915,"$73,381,862.85",1.90
2022-04-05,ARKG,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,17666962,"$72,964,553.06",1.88
2022-04-05,ARKG,908 DEVICES INC,MASS,65443P102,3457293,"$71,704,256.82",1.85
2022-04-05,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,5958409,"$71,322,155.73",1.84
2022-04-05,ARKG,VERACYTE INC,VCYT,92337F107,2006233,"$59,223,998.16",1.53
2022-04-05,ARKG,QUANTUM-SI INC,QSI,74765K105,11292498,"$55,107,390.24",1.42
2022-04-05,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,248690,"$53,722,013.80",1.39
2022-04-05,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,1161756,"$53,429,158.44",1.38
2022-04-05,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,3016002,"$52,357,794.72",1.35
2022-04-05,ARKG,INVITAE CORP,NVTA,46185L103,5604652,"$50,497,914.52",1.30
2022-04-05,ARKG,PERSONALIS INC,PSNL,71535D106,5146587,"$45,084,102.12",1.16
2022-04-05,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,545305,"$44,938,585.05",1.16
2022-04-05,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,2855759,"$42,093,887.66",1.09
2022-04-05,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,57235,"$39,973,496.35",1.03
2022-04-05,ARKG,VERVE THERAPEUTICS INC,VERV,92539P101,1675073,"$38,811,441.41",1.00
2022-04-05,ARKG,PFIZER INC,PFE,717081103,753974,"$38,407,435.56",0.99
2022-04-05,ARKG,BURNING ROCK BIOTECH LTD-ADR,BNR,12233L107,3495798,"$36,321,341.22",0.94
2022-04-05,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,7288419,"$34,692,874.44",0.90
2022-04-05,ARKG,CERUS CORP,CERS,157085101,4358505,"$24,799,893.45",0.64
2022-04-05,ARKG,BERKELEY LIGHTS INC,BLI,084310101,3387524,"$24,864,426.16",0.64
2022-04-05,ARKG,DYNAMICS SPECIAL PURPOSE C-A,DYNS,268010105,2262841,"$22,334,240.67",0.58
2022-04-05,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,2807111,"$21,895,465.80",0.57
2022-04-05,ARKG,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,18077748,"$18,077,747.99",0.47
2022-04-05,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,5346496,"$16,627,602.56",0.43
2022-04-05,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,522410,"$11,153,453.50",0.29
2022-04-05,ARKG,COMPUGEN LTD,CGEN,M25722105,3189522,"$10,621,108.26",0.27
2022-04-05,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,700210,"$10,153,045.00",0.26
2022-04-05,ARKG,ZYMERGEN INC,ZY,98985X100,3116047,"$9,441,622.41",0.24
2022-04-05,ARKG,ATAI LIFE SCIENCES NV,ATAI UQ,N0731H103,1662433,"$8,827,519.23",0.23
2022-04-05,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,201316,"$724,737.60",0.02
