date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-05,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,1179442,"$226,040,059.30",8.86
2022-04-05,ARKW,TESLA INC,TSLA,88160R101,195781,"$224,257,346.45",8.79
2022-04-05,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,6207614,"$199,140,257.12",7.80
2022-04-05,ARKW,BLOCK INC,SQ,852234103,1150782,"$167,082,038.58",6.55
2022-04-05,ARKW,ROKU INC,ROKU,77543R102,1122812,"$151,119,267.08",5.92
2022-04-05,ARKW,TELADOC HEALTH INC,TDOC,87918A105,1843269,"$139,830,386.34",5.48
2022-04-05,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1120685,"$139,278,731.80",5.46
2022-04-05,ARKW,TWILIO INC - A,TWLO,90138F102,691567,"$120,823,670.57",4.73
2022-04-05,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,709800,"$112,744,632.00",4.42
2022-04-05,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,135922,"$98,854,711.38",3.87
2022-04-05,ARKW,UNITY SOFTWARE INC,U,91332U101,876029,"$95,171,790.56",3.73
2022-04-05,ARKW,SEA LTD-ADR,SE,81141R100,647285,"$85,907,665.20",3.37
2022-04-05,ARKW,DRAFTKINGS INC - CL A,DKNG,26142R104,4143958,"$84,578,182.78",3.31
2022-04-05,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,1419374,"$70,997,087.48",2.78
2022-04-05,ARKW,UIPATH INC - CLASS A,PATH,90364P105,3047187,"$69,445,391.73",2.72
2022-04-05,ARKW,PAGERDUTY INC,PD,69553P100,1533393,"$56,122,183.80",2.20
2022-04-05,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,3955087,"$54,698,853.21",2.14
2022-04-05,ARKW,TWITTER INC,TWTR,90184L102,1028767,"$51,407,486.99",2.01
2022-04-05,ARKW,MERCADOLIBRE INC,MELI,58733R102,33875,"$42,852,213.75",1.68
2022-04-05,ARKW,NEXTDOOR HOLDINGS INC,KIND,65345M108,5198105,"$34,983,246.65",1.37
2022-04-05,ARKW,MONDAY.COM LTD,MNDY,M7S64H106,195662,"$34,397,379.60",1.35
2022-04-05,ARKW,OKTA INC,OKTA,679295105,212373,"$34,068,876.66",1.33
2022-04-05,ARKW,VUZIX CORP,VUZI,92921W300,4326715,"$31,455,218.05",1.23
2022-04-05,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,245333,"$31,132,757.70",1.22
2022-04-05,ARKW,VERACYTE INC,VCYT,92337F107,1024646,"$30,247,549.92",1.19
2022-04-05,ARKW,NANO DIMENSION LTD - ADR,NNDM,63008G203,7893915,"$28,181,276.55",1.10
2022-04-05,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,123027,"$28,176,873.81",1.10
2022-04-05,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,5378725,"$24,634,560.50",0.97
2022-04-05,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,1179696,"$24,171,971.04",0.95
2022-04-05,ARKW,2U INC,TWOU,90214J101,1194068,"$16,705,011.32",0.65
2022-04-05,ARKW,ENDEAVOR GROUP HOLD-CLASS A,EDR  UN,29260Y109,483504,"$14,287,543.20",0.56
2022-04-05,ARKW,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,1637337,"$13,213,309.59",0.52
2022-04-05,ARKW,WALT DISNEY CO/THE,DIS,254687106,80325,"$11,131,438.50",0.44
2022-04-05,ARKW,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,4474067,"$4,474,066.62",0.18
2022-04-05,ARKW,SPLUNK INC,SPLK,848637104,1653,"$243,172.83",0.01
2022-04-05,ARKW,PELOTON INTERACTIVE INC-A,PTON,70614W100,8788,"$244,394.28",0.01
2022-04-05,ARKW,SNOWFLAKE INC-CLASS A,SNOW,833445109,86,"$20,745.78",0.00
