date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-05,ARKK,TESLA INC,TSLA,88160R101,1094400,"$1,253,580,480.00",9.80
2022-04-05,ARKK,ROKU INC,ROKU,77543R102,6227533,"$838,163,666.47",6.55
2022-04-05,ARKK,TELADOC HEALTH INC,TDOC,87918A105,11016215,"$835,690,069.90",6.53
2022-04-05,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,4267634,"$817,892,056.10",6.39
2022-04-05,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,6390619,"$794,226,129.32",6.21
2022-04-05,ARKK,BLOCK INC,SQ,852234103,5080846,"$737,688,030.74",5.77
2022-04-05,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,8456559,"$644,643,492.57",5.04
2022-04-05,ARKK,UNITY SOFTWARE INC,U,91332U101,5872967,"$638,039,134.88",4.99
2022-04-05,ARKK,TWILIO INC - A,TWLO,90138F102,3114979,"$544,217,981.09",4.25
2022-04-05,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3193998,"$507,334,642.32",3.97
2022-04-05,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,5808210,"$442,643,684.10",3.46
2022-04-05,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,6189587,"$430,238,192.37",3.36
2022-04-05,ARKK,UIPATH INC - CLASS A,PATH,90364P105,18446471,"$420,395,074.09",3.29
2022-04-05,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,6057504,"$377,745,949.44",2.95
2022-04-05,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,478321,"$347,878,080.09",2.72
2022-04-05,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,14722285,"$300,481,836.85",2.35
2022-04-05,ARKK,PAGERDUTY INC,PD,69553P100,7296111,"$267,037,662.60",2.09
2022-04-05,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,6266130,"$265,621,250.70",2.08
2022-04-05,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,18401230,"$254,489,010.90",1.99
2022-04-05,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,11719441,"$213,762,603.84",1.67
2022-04-05,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,4066934,"$203,428,038.68",1.59
2022-04-05,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2444637,"$201,462,535.17",1.57
2022-04-05,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,39597999,"$163,539,735.87",1.28
2022-04-05,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,2880692,"$155,557,368.00",1.22
2022-04-05,ARKK,INVITAE CORP,NVTA,46185L103,17308016,"$155,945,224.16",1.22
2022-04-05,ARKK,SEA LTD-ADR,SE,81141R100,1137715,"$150,997,534.80",1.18
2022-04-05,ARKK,VERACYTE INC,VCYT,92337F107,4976052,"$146,893,055.04",1.15
2022-04-05,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,12616414,"$131,589,198.02",1.03
2022-04-05,ARKK,STRATASYS LTD,SSYS,M85548101,4865228,"$124,890,402.76",0.98
2022-04-05,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,8408536,"$107,292,919.36",0.84
2022-04-05,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,3975097,"$82,125,504.02",0.64
2022-04-05,ARKK,2U INC,TWOU,90214J101,5741062,"$80,317,457.38",0.63
2022-04-05,ARKK,CERUS CORP,CERS,157085101,10448469,"$59,451,788.61",0.46
2022-04-05,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,43552777,"$43,552,777.47",0.34
2022-04-05,ARKK,BERKELEY LIGHTS INC,BLI,084310101,4890930,"$35,899,426.20",0.28
2022-04-05,ARKK,COMPUGEN LTD,CGEN,M25722105,5988320,"$19,941,105.60",0.16
