date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-05,IZRL,SOLAREDGE TECHNOLOGIES INC,SEDG,83417M104,11420,"$3,829,240.20",2.33
2022-04-05,IZRL,RADA ELECTRONIC INDS LTD,RADA,M81863124,264082,"$3,800,139.98",2.31
2022-04-05,IZRL,PERION NETWORK LTD,PERI,M78673114,136790,"$3,626,302.90",2.21
2022-04-05,IZRL,GAMIDA CELL LTD,GMDA,M47364100,853501,"$3,627,379.25",2.21
2022-04-05,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,M87915274,71667,"$3,504,516.30",2.13
2022-04-05,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,BG1YKN5,23439,"$3,491,692.49",2.13
2022-04-05,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,18812,"$3,278,555.36",2.00
2022-04-05,IZRL,ELBIT SYSTEMS LTD,ESLT,6308913,15050,"$3,262,311.72",1.99
2022-04-05,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,M51474118,331137,"$2,986,855.74",1.82
2022-04-05,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,881624209,300012,"$2,967,118.68",1.81
2022-04-05,IZRL,CELLEBRITE DI LTD,CLBT,M2197Q107,409584,"$2,944,908.96",1.79
2022-04-05,IZRL,STRATASYS LTD,SSYS,M85548101,114073,"$2,928,253.91",1.78
2022-04-05,IZRL,CHECK POINT SOFTWARE TECH,CHKP,M22465104,20647,"$2,914,530.52",1.78
2022-04-05,IZRL,UROGEN PHARMA LTD,URGN UQ,M96088105,333472,"$2,857,855.04",1.74
2022-04-05,IZRL,INNOVIZ TECHNOLOGIES LTD,INVZ UR,M5R635108,686524,"$2,801,017.92",1.71
2022-04-05,IZRL,ENLIVEX THERAPEUTICS LTD,ENLV,M4130Y106,434343,"$2,779,795.20",1.69
2022-04-05,IZRL,NANO-X IMAGING LTD,NNOX,M70700105,228841,"$2,773,552.92",1.69
2022-04-05,IZRL,HILAN LTD,HLAN,6267230,42961,"$2,781,271.59",1.69
2022-04-05,IZRL,PLAYTIKA HOLDING CORP,PLTK,72815L107,138261,"$2,741,715.63",1.67
2022-04-05,IZRL,JFROG LTD,FROG,M6191J100,100706,"$2,739,203.20",1.67
2022-04-05,IZRL,NANO DIMENSION LTD - ADR,NNDM,63008G203,761080,"$2,717,055.60",1.66
2022-04-05,IZRL,CELLCOM ISRAEL LTD,CEL,B23WQK8,463242,"$2,723,083.45",1.66
2022-04-05,IZRL,PARTNER COMMUNICATIONS CO,PTNR,6374420,322300,"$2,703,673.56",1.65
2022-04-05,IZRL,TUFIN SOFTWARE TECHNOLOGIES,TUFN,M8893U102,291834,"$2,705,301.18",1.65
2022-04-05,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,6987709,147300,"$2,629,782.95",1.60
2022-04-05,IZRL,RADWARE LTD,RDWR,M81873107,78207,"$2,583,959.28",1.57
2022-04-05,IZRL,MATRIX IT LTD,MTRX,6747754,95136,"$2,527,703.62",1.54
2022-04-05,IZRL,ITURAN LOCATION AND CONTROL,ITRN,M6158M104,104659,"$2,530,654.62",1.54
2022-04-05,IZRL,RISKIFIED LTD-A,RSKD,M8216R109,385757,"$2,522,850.78",1.54
2022-04-05,IZRL,ELECTRA CONSUMER PRODUCTS 19,ECP,B536CY7,41192,"$2,530,584.09",1.54
2022-04-05,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,6098032,1487849,"$2,512,923.00",1.53
2022-04-05,IZRL,COGNYTE SOFTWARE LTD,CGNT,M25133105,214241,"$2,498,050.06",1.52
2022-04-05,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,6328074,138786,"$2,495,525.23",1.52
2022-04-05,IZRL,COLLPLANT BIOTECHNOLOGIES LT,CLGN UQ,M2R51X116,228657,"$2,474,068.74",1.51
