date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-05,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,1763191,"$38,578,619.08",8.97
2022-04-05,ARKX,TRIMBLE INC,TRMB,896239100,516131,"$38,508,533.91",8.96
2022-04-05,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,987008,"$29,472,058.88",6.86
2022-04-05,ARKX,AEROVIRONMENT INC,AVAV,008073108,281007,"$27,479,674.53",6.39
2022-04-05,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,100798,"$25,465,606.72",5.92
2022-04-05,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,575195,"$24,440,035.55",5.68
2022-04-05,ARKX,KOMATSU LTD,6301,6496584,870288,"$20,831,192.02",4.85
2022-04-05,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,1930573,"$16,989,042.40",3.95
2022-04-05,ARKX,VELO3D INC,VLD,92259N104,1630320,"$14,330,512.80",3.33
2022-04-05,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,255243,"$12,762,990.04",2.97
2022-04-05,ARKX,AMAZON.COM INC,AMZN,023135106,3697,"$12,447,540.21",2.90
2022-04-05,ARKX,DEERE & CO,DE,244199105,27830,"$11,617,633.50",2.70
2022-04-05,ARKX,UNITY SOFTWARE INC,U,91332U101,105401,"$11,450,764.64",2.66
2022-04-05,ARKX,JD LOGISTICS INC,2618,BNMBPD9,4555126,"$10,977,888.55",2.55
2022-04-05,ARKX,UIPATH INC - CLASS A,PATH,90364P105,455737,"$10,386,246.23",2.42
2022-04-05,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,2134553,"$10,352,582.05",2.41
2022-04-05,ARKX,GARMIN LTD,GRMN U,B3Z5T14,85973,"$10,209,293.75",2.37
2022-04-05,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,191224,"$9,209,347.84",2.14
2022-04-05,ARKX,MARKFORGED HOLDING CORP,MKFG,57064N102,2135072,"$8,881,899.52",2.07
2022-04-05,ARKX,JOBY AVIATION INC,JOBY,G65163100,1416867,"$8,770,406.73",2.04
2022-04-05,ARKX,ALPHABET INC-CL C,GOOG,02079K107,2899,"$8,328,392.15",1.94
2022-04-05,ARKX,TERADYNE INC,TER,880770102,70002,"$8,326,037.88",1.94
2022-04-05,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,37457,"$8,110,938.78",1.89
2022-04-05,ARKX,THALES SA,HO,4162791,51960,"$6,612,282.51",1.54
2022-04-05,ARKX,MYNARIC AG,MYNA,62857X101,548995,"$6,313,442.50",1.47
2022-04-05,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,29482,"$5,780,535.74",1.34
2022-04-05,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,9572,"$4,639,548.40",1.08
2022-04-05,ARKX,HEICO CORP,HEI,422806109,29102,"$4,575,125.42",1.06
2022-04-05,ARKX,3D SYSTEMS CORP,DDD,88554D205,255064,"$4,473,822.56",1.04
2022-04-05,ARKX,AIRBUS SE,AIR,4012250,36936,"$4,461,300.22",1.04
2022-04-05,ARKX,SYNOPSYS INC,SNPS,871607107,12927,"$4,397,119.05",1.02
2022-04-05,ARKX,ANSYS INC,ANSS,03662Q105,12246,"$3,958,029.66",0.92
2022-04-05,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,8848,"$3,928,600.48",0.91
2022-04-05,ARKX,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1920532,"$1,920,532.46",0.45
2022-04-05,ARKX,PROTO LABS INC,PRLB,743713109,13690,"$748,843.00",0.17
