date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-05,CTRU,NATURA &CO HOLDING-ADR,NTCO,63884N108,16716,"$201,093.48",1.09
2022-04-05,CTRU,TWIST BIOSCIENCE CORP,TWST,90184D100,3685,"$198,990.00",1.08
2022-04-05,CTRU,FIVE9 INC,FIVN,338307101,1668,"$197,374.44",1.07
2022-04-05,CTRU,JD.COM INC-ADR,JD,47215P106,3123,"$197,717.13",1.07
2022-04-05,CTRU,CANADIAN SOLAR INC,CSIQ,136635109,5114,"$194,076.30",1.05
2022-04-05,CTRU,MOMENTIVE GLOBAL INC,MNTV,60878Y108,11022,"$193,215.66",1.05
2022-04-05,CTRU,ROKU INC,ROKU,77543R102,1438,"$193,540.42",1.05
2022-04-05,CTRU,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,611,"$193,796.98",1.05
2022-04-05,CTRU,ELASTIC NV,ESTC,N14506104,2027,"$194,652.81",1.05
2022-04-05,CTRU,BEYOND MEAT INC,BYND,08862E109,3734,"$192,076.96",1.04
2022-04-05,CTRU,BILL.COM HOLDINGS INC,BILL,090043100,788,"$191,602.20",1.04
2022-04-05,CTRU,CAREDX INC,CDNA,14167L103,4854,"$192,800.88",1.04
2022-04-05,CTRU,PAGERDUTY INC,PD,69553P100,5236,"$191,637.60",1.04
2022-04-05,CTRU,SHOPIFY INC - CLASS A,SHOP,82509L107,264,"$192,004.56",1.04
2022-04-05,CTRU,TWILIO INC - A,TWLO,90138F102,1099,"$192,006.29",1.04
2022-04-05,CTRU,INTUIT INC,INTU,461202103,376,"$190,124.40",1.03
2022-04-05,CTRU,NUTANIX INC - A,NTNX,67059N108,6666,"$189,781.02",1.03
2022-04-05,CTRU,ABCAM PLC-SPON ADR,ABCM,000380204,9873,"$189,166.68",1.02
2022-04-05,CTRU,AEROVIRONMENT INC,AVAV,008073108,1925,"$188,245.75",1.02
2022-04-05,CTRU,CORSAIR GAMING INC,CRSR,22041X102,8483,"$187,983.28",1.02
2022-04-05,CTRU,HUBSPOT INC,HUBS,443573100,374,"$188,570.80",1.02
2022-04-05,CTRU,LULULEMON ATHLETICA INC,LULU,550021109,491,"$188,632.38",1.02
2022-04-05,CTRU,NETFLIX INC,NFLX,64110L106,482,"$188,703.00",1.02
2022-04-05,CTRU,SNOWFLAKE INC-CLASS A,SNOW,833445109,785,"$189,365.55",1.02
2022-04-05,CTRU,TELADOC HEALTH INC,TDOC,87918A105,2496,"$189,346.56",1.02
2022-04-05,CTRU,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,1184,"$188,066.56",1.02
2022-04-05,CTRU,FIVERR INTERNATIONAL LTD,FVRR,M4R82T106,2358,"$188,663.58",1.02
2022-04-05,CTRU,ACUSHNET HOLDINGS CORP,GOLF,005098108,4458,"$187,325.16",1.01
2022-04-05,CTRU,ADYEN NV-UNSPON ADR,ADYEY,00783V104,9119,"$186,848.31",1.01
2022-04-05,CTRU,BIOMARIN PHARMACEUTICAL INC,BMRN,09061G101,2334,"$187,373.52",1.01
2022-04-05,CTRU,CARDLYTICS INC,CDLX,14161W105,3232,"$187,003.52",1.01
2022-04-05,CTRU,CHARGEPOINT HOLDINGS INC,CHPT,15961R105,9073,"$186,359.42",1.01
2022-04-05,CTRU,DATADOG INC - CLASS A,DDOG,23804L103,1187,"$185,836.72",1.01
2022-04-05,CTRU,DOCUSIGN INC,DOCU,256163106,1669,"$187,395.32",1.01
2022-04-05,CTRU,DROPBOX INC-CLASS A,DBX,26210C104,7730,"$186,679.50",1.01
2022-04-05,CTRU,EVOTEC SE - SPON ADR,EVO,30050E105,12003,"$186,046.50",1.01
2022-04-05,CTRU,HASBRO INC,HAS,418056107,2191,"$186,497.92",1.01
2022-04-05,CTRU,ROCKET LAB USA INC,RKLB,773122106,22461,"$186,426.30",1.01
2022-04-05,CTRU,TRIPADVISOR INC,TRIP,896945201,6669,"$187,265.52",1.01
2022-04-05,CTRU,ADOBE INC,ADBE,00724F101,394,"$184,711.14",1.00
2022-04-05,CTRU,AMAZON.COM INC,AMZN,023135106,55,"$185,181.15",1.00
2022-04-05,CTRU,DYNATRACE INC,DT,268150109,3810,"$184,975.50",1.00
2022-04-05,CTRU,MCCORMICK & CO-NON VTG SHRS,MKC,579780206,1815,"$183,950.25",1.00
2022-04-05,CTRU,MERCURY SYSTEMS INC,MRCY,589378108,2789,"$184,185.56",1.00
2022-04-05,CTRU,SONY GROUP CORP - SP ADR,SONY,835699307,1758,"$184,660.32",1.00
2022-04-05,CTRU,SPROUT SOCIAL INC - CLASS A,SPT,85209W109,2225,"$185,720.75",1.00
2022-04-05,CTRU,SYNOPSYS INC,SNPS,871607107,544,"$185,041.60",1.00
2022-04-05,CTRU,ACCENTURE PLC-CL A,ACN,G1151C101,534,"$183,946.98",1.00
2022-04-05,CTRU,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,1062,"$185,085.36",1.00
2022-04-05,CTRU,APPLE INC,AAPL,037833100,1029,"$183,614.76",0.99
2022-04-05,CTRU,AUTODESK INC,ADSK,052769106,838,"$183,329.26",0.99
2022-04-05,CTRU,AUTOLIV INC,ALV,052800109,2367,"$182,353.68",0.99
2022-04-05,CTRU,AXON ENTERPRISE INC,AXON,05464C101,1306,"$182,840.00",0.99
2022-04-05,CTRU,BLACK KNIGHT INC,BKI,09215C105,3088,"$183,025.76",0.99
2022-04-05,CTRU,CANADA GOOSE HOLDINGS INC,GOOS,135086106,6765,"$182,181.45",0.99
2022-04-05,CTRU,IPG PHOTONICS CORP,IPGP,44980X109,1646,"$183,545.46",0.99
2022-04-05,CTRU,PVH CORP,PVH,693656100,2335,"$182,270.10",0.99
2022-04-05,CTRU,RAPID7 INC,RPD,753422104,1613,"$183,849.74",0.99
2022-04-05,CTRU,RELX PLC - SPON ADR,RELX,759530108,5800,"$183,454.00",0.99
2022-04-05,CTRU,ROPER TECHNOLOGIES INC,ROP,776696106,381,"$183,360.06",0.99
2022-04-05,CTRU,SPECTRUM BRANDS HOLDINGS INC,SPB,84790A105,2021,"$183,587.64",0.99
2022-04-05,CTRU,SPLUNK INC,SPLK,848637104,1245,"$183,151.95",0.99
2022-04-05,CTRU,WORKDAY INC-CLASS A,WDAY,98138H101,756,"$183,708.00",0.99
2022-04-05,CTRU,ASML HOLDING NV-NY REG SHS,ASML,N07059210,270,"$183,824.10",0.99
2022-04-05,CTRU,BWX TECHNOLOGIES INC,BWXT,05605H100,3351,"$180,987.51",0.98
2022-04-05,CTRU,CRH PLC-SPONSORED ADR,CRH,12626K203,4499,"$181,219.72",0.98
2022-04-05,CTRU,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,793,"$181,620.79",0.98
2022-04-05,CTRU,HP INC,HPQ,40434L105,4951,"$181,404.64",0.98
2022-04-05,CTRU,MAGNA INTERNATIONAL INC,MGA,559222401,2816,"$181,660.16",0.98
2022-04-05,CTRU,PEARSON PLC-SPONSORED ADR,PSO,705015105,18119,"$181,552.38",0.98
2022-04-05,CTRU,SKYWORKS SOLUTIONS INC,SWKS,83088M102,1344,"$180,472.32",0.98
2022-04-05,CTRU,SONOS INC,SONO,83570H108,6400,"$181,056.00",0.98
2022-04-05,CTRU,TERADYNE INC,TER,880770102,1519,"$180,669.86",0.98
2022-04-05,CTRU,ALLEGION PLC,ALLE,G0176J109,1632,"$181,641.60",0.98
2022-04-05,CTRU,GLOBANT SA,GLOB,L44385109,688,"$180,744.48",0.98
2022-04-05,CTRU,ALLEGRO MICROSYSTEMS INC,ALGM,01749D105,6362,"$179,026.68",0.97
2022-04-05,CTRU,BIO-TECHNE CORP,TECH UW,09073M104,414,"$178,864.56",0.97
2022-04-05,CTRU,BRUKER CORP,BRKR,116794108,2768,"$179,836.96",0.97
2022-04-05,CTRU,CDW CORP/DE,CDW,12514G108,1007,"$180,081.81",0.97
2022-04-05,CTRU,KLA CORP,KLAC,482480100,491,"$180,221.55",0.97
2022-04-05,CTRU,STEVEN MADDEN LTD,SHOO,556269108,4653,"$179,698.86",0.97
2022-04-05,CTRU,NETAPP INC,NTAP,64110D104,2152,"$180,014.80",0.97
2022-04-05,CTRU,NVIDIA CORP,NVDA,67066G104,653,"$178,660.80",0.97
2022-04-05,CTRU,QUALYS INC,QLYS,74758T303,1253,"$179,742.85",0.97
2022-04-05,CTRU,SONOCO PRODUCTS CO,SON,835495102,2878,"$180,076.46",0.97
2022-04-05,CTRU,THERMO FISHER SCIENTIFIC INC,TMO,883556102,303,"$178,812.42",0.97
2022-04-05,CTRU,VF CORP,VFC,918204108,3155,"$179,614.15",0.97
2022-04-05,CTRU,GARMIN LTD,GRMN,H2906T109,1514,"$179,787.50",0.97
2022-04-05,CTRU,BRADY CORPORATION - CL A,BRC,104674106,3892,"$177,981.16",0.96
2022-04-05,CTRU,BUCKLE INC/THE,BKE,118440106,5455,"$178,160.30",0.96
2022-04-05,CTRU,OMNICELL INC,OMCL,68213N109,1404,"$178,308.00",0.96
2022-04-05,CTRU,WEST PHARMACEUTICAL SERVICES,WST,955306105,436,"$178,337.08",0.96
2022-04-05,CTRU,AMKOR TECHNOLOGY INC,AMKR,031652100,8214,"$175,697.46",0.95
2022-04-05,CTRU,CBOE GLOBAL MARKETS INC,CBOE,12503M108,1550,"$175,026.00",0.95
2022-04-05,CTRU,CME GROUP INC,CME,12572Q105,752,"$176,411.68",0.95
2022-04-05,CTRU,MAXLINEAR INC,MXL,57776J100,3057,"$173,545.89",0.94
2022-04-05,CTRU,OWENS & MINOR INC,OMI,690732102,4041,"$173,278.08",0.94
2022-04-05,CTRU,STARBUCKS CORP,SBUX,855244109,1977,"$174,153.93",0.94
2022-04-05,CTRU,GATES INDUSTRIAL CORP PLC,GTES,G39108108,12011,"$171,036.64",0.93
2022-04-05,CTRU,ENTEGRIS INC,ENTG,29362U104,1370,"$170,565.00",0.92
2022-04-05,CTRU,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,36627,"$36,627.47",0.20
