date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-05,ARKQ,TESLA INC,TSLA,88160R101,166423,"$190,629,225.35",11.23
2022-04-05,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,6808904,"$148,978,819.52",8.78
2022-04-05,ARKQ,TRIMBLE INC,TRMB,896239100,1587662,"$118,455,461.82",6.98
2022-04-05,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,3799522,"$86,591,106.38",5.10
2022-04-05,ARKQ,AEROVIRONMENT INC,AVAV,008073108,823891,"$80,568,300.89",4.75
2022-04-05,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,1778970,"$75,588,435.30",4.45
2022-04-05,ARKQ,DEERE & CO,DE,244199105,175729,"$73,358,071.05",4.32
2022-04-05,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,2932213,"$70,812,943.95",4.17
2022-04-05,ARKQ,BLADE AIR MOBILITY INC,BLDE,092667104,6445857,"$56,723,541.60",3.34
2022-04-05,ARKQ,3D SYSTEMS CORP,DDD,88554D205,3170658,"$55,613,341.32",3.28
2022-04-05,ARKQ,UNITY SOFTWARE INC,U,91332U101,495201,"$53,798,636.64",3.17
2022-04-05,ARKQ,VELO3D INC,VLD,92259N104,5955189,"$52,346,111.31",3.08
2022-04-05,ARKQ,MARKFORGED HOLDING CORP,MKFG,57064N102,10687080,"$44,458,252.80",2.62
2022-04-05,ARKQ,ARCHER AVIATION INC-A,ACHR,03945R102,8786369,"$42,613,889.65",2.51
2022-04-05,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,3068855,"$39,158,589.80",2.31
2022-04-05,ARKQ,TERADYNE INC,TER,880770102,309672,"$36,832,387.68",2.17
2022-04-05,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,164666,"$35,656,775.64",2.10
2022-04-05,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,12282,"$35,284,343.70",2.08
2022-04-05,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,481833,"$30,275,976.56",1.78
2022-04-05,ARKQ,XPENG INC - ADR,XPEV,98422D105,928648,"$29,159,547.20",1.72
2022-04-05,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,177142,"$27,244,439.60",1.60
2022-04-05,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,7561155,"$26,993,323.35",1.59
2022-04-05,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,2463380,"$26,924,743.40",1.59
2022-04-05,ARKQ,STRATASYS LTD,SSYS,M85548101,1035570,"$26,583,081.90",1.57
2022-04-05,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,406924,"$26,250,667.24",1.55
2022-04-05,ARKQ,PROTO LABS INC,PRLB,743713109,472887,"$25,866,918.90",1.52
2022-04-05,ARKQ,CATERPILLAR INC,CAT,149123101,111481,"$24,616,119.61",1.45
2022-04-05,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1148701,"$23,732,162.66",1.40
2022-04-05,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,40039,"$19,406,903.30",1.14
2022-04-05,ARKQ,SYNOPSYS INC,SNPS,871607107,56438,"$19,197,385.70",1.13
2022-04-05,ARKQ,ANSYS INC,ANSS,03662Q105,55361,"$17,893,228.81",1.05
2022-04-05,ARKQ,VUZIX CORP,VUZI,92921W300,2444361,"$17,770,504.47",1.05
2022-04-05,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,48494,"$14,657,311.50",0.86
2022-04-05,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,32261,"$14,324,206.61",0.84
2022-04-05,ARKQ,2U INC,TWOU,90214J101,716797,"$10,027,990.03",0.59
2022-04-05,ARKQ,NIO INC - ADR,NIO,62914V106,420057,"$10,018,359.45",0.59
2022-04-05,ARKQ,MATTERPORT INC,MTTR,577096100,534829,"$4,594,181.11",0.27
2022-04-05,ARKQ,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,4369769,"$4,369,769.13",0.26
2022-04-05,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,101738,"$366,256.80",0.02
