date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-07,ARKK,TESLA INC,TSLA,88160R101,1082924,1132478602.24,9.94
2022-04-07,ARKK,ROKU INC,ROKU,77543R102,6162325,735350242.25,6.45
2022-04-07,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,6323701,734118449.09,6.44
2022-04-07,ARKK,TELADOC HEALTH INC,TDOC,87918A105,10759268,728402443.60,6.39
2022-04-07,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,4222946,704556310.64,6.18
2022-04-07,ARKK,BLOCK INC,SQ,852234103,5027646,647409975.42,5.68
2022-04-07,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,8367981,574963974.51,5.05
2022-04-07,ARKK,UNITY SOFTWARE INC,U,91332U101,5811445,545636571.05,4.79
2022-04-07,ARKK,TWILIO INC - A,TWLO,90138F102,3082375,472713030.00,4.15
2022-04-07,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3160558,460303667.12,4.04
2022-04-07,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,6124759,404969065.08,3.55
2022-04-07,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,5747372,388234978.60,3.41
2022-04-07,ARKK,UIPATH INC - CLASS A,PATH,90364P105,18253241,387881371.25,3.40
2022-04-07,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,5994044,328473611.20,2.88
2022-04-07,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,473305,310762596.90,2.73
2022-04-07,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,14568081,257563672.08,2.26
2022-04-07,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,6200504,252546527.92,2.22
2022-04-07,ARKK,PAGERDUTY INC,PD,69553P100,7219693,235867370.31,2.07
2022-04-07,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,18208494,227788259.94,2.00
2022-04-07,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,11596701,202478399.46,1.78
2022-04-07,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,4024336,184676779.04,1.62
2022-04-07,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2419025,177967669.25,1.56
2022-04-07,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,3024653,147663559.46,1.30
2022-04-07,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,39183197,138316685.41,1.21
2022-04-07,ARKK,SEA LTD-ADR,SE,81141R100,1125821,135965402.17,1.19
2022-04-07,ARKK,VERACYTE INC,VCYT,92337F107,4923916,132256383.76,1.16
2022-04-07,ARKK,INVITAE CORP,NVTA,46185L103,16904283,129486807.78,1.14
2022-04-07,ARKK,STRATASYS LTD,SSYS,M85548101,4814270,110824495.40,0.97
2022-04-07,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,12484250,109861400.00,0.96
2022-04-07,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,8320452,93854698.56,0.82
2022-04-07,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,3933449,74184848.14,0.65
2022-04-07,ARKK,2U INC,TWOU,90214J101,5680946,72602489.88,0.64
2022-04-07,ARKK,CERUS CORP,CERS,157085101,10339029,55417195.44,0.49
2022-04-07,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,50004182,50004182.00,0.44
2022-04-07,ARKK,BERKELEY LIGHTS INC,BLI,084310101,4839700,31119271.00,0.27
2022-04-07,ARKK,COMPUGEN LTD,CGEN,M25722105,5925576,19258122.00,0.17
