date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-07,CTRU,BLACK KNIGHT INC,BKI,09215C105,3088,207328.32,1.19
2022-04-07,CTRU,AEROVIRONMENT INC,AVAV,008073108,1925,193924.50,1.11
2022-04-07,CTRU,FIVE9 INC,FIVN,338307101,1668,192136.92,1.10
2022-04-07,CTRU,ABCAM PLC-SPON ADR,ABCM,000380204,9873,187093.35,1.07
2022-04-07,CTRU,BIOMARIN PHARMACEUTICAL INC,BMRN,09061G101,2334,187093.44,1.07
2022-04-07,CTRU,HASBRO INC,HAS,418056107,2191,187199.04,1.07
2022-04-07,CTRU,JD.COM INC-ADR,JD,47215P106,3123,184475.61,1.06
2022-04-07,CTRU,MCCORMICK & CO-NON VTG SHRS,MKC,579780206,1815,186073.80,1.06
2022-04-07,CTRU,MOMENTIVE GLOBAL INC,MNTV,60878Y108,11022,185610.48,1.06
2022-04-07,CTRU,PEARSON PLC-SPONSORED ADR,PSO,705015105,18119,184994.99,1.06
2022-04-07,CTRU,RELX PLC - SPON ADR,RELX,759530108,5800,185136.00,1.06
2022-04-07,CTRU,CME GROUP INC,CME,12572Q105,752,183074.40,1.05
2022-04-07,CTRU,INTUIT INC,INTU,461202103,376,184318.96,1.05
2022-04-07,CTRU,ROPER TECHNOLOGIES INC,ROP,776696106,381,182643.78,1.05
2022-04-07,CTRU,ACUSHNET HOLDINGS CORP,GOLF,005098108,4458,182332.20,1.04
2022-04-07,CTRU,BWX TECHNOLOGIES INC,BWXT,05605H100,3351,180886.98,1.04
2022-04-07,CTRU,LULULEMON ATHLETICA INC,LULU,550021109,491,182568.53,1.04
2022-04-07,CTRU,NATURA &CO HOLDING-ADR,NTCO,63884N108,16716,182538.72,1.04
2022-04-07,CTRU,ROCKET LAB USA INC,RKLB,773122106,22461,181035.66,1.04
2022-04-07,CTRU,SONOCO PRODUCTS CO,SON,835495102,2878,181170.10,1.04
2022-04-07,CTRU,ACCENTURE PLC-CL A,ACN,G1151C101,534,181698.84,1.04
2022-04-07,CTRU,BIO-TECHNE CORP,TECH UW,09073M104,414,179758.80,1.03
2022-04-07,CTRU,CAREDX INC,CDNA,14167L103,4854,180811.50,1.03
2022-04-07,CTRU,CORSAIR GAMING INC,CRSR,22041X102,8483,179839.60,1.03
2022-04-07,CTRU,EVOTEC SE - SPON ADR,EVO,30050E105,12003,180165.03,1.03
2022-04-07,CTRU,MERCURY SYSTEMS INC,MRCY,589378108,2789,179360.59,1.03
2022-04-07,CTRU,TWIST BIOSCIENCE CORP,TWST,90184D100,3685,179901.70,1.03
2022-04-07,CTRU,CBOE GLOBAL MARKETS INC,CBOE,12503M108,1550,178126.00,1.02
2022-04-07,CTRU,CDW CORP/DE,CDW,12514G108,1007,177614.66,1.02
2022-04-07,CTRU,NETFLIX INC,NFLX,64110L106,482,177544.70,1.02
2022-04-07,CTRU,THERMO FISHER SCIENTIFIC INC,TMO,883556102,303,177985.23,1.02
2022-04-07,CTRU,WEST PHARMACEUTICAL SERVICES,WST,955306105,436,178520.20,1.02
2022-04-07,CTRU,ELASTIC NV,ESTC,N14506104,2027,177342.23,1.02
2022-04-07,CTRU,APPLE INC,AAPL,037833100,1029,176813.07,1.01
2022-04-07,CTRU,BRADY CORPORATION - CL A,BRC,104674106,3892,176151.92,1.01
2022-04-07,CTRU,BUCKLE INC/THE,BKE,118440106,5455,176087.40,1.01
2022-04-07,CTRU,CANADIAN SOLAR INC,CSIQ,136635109,5114,177302.38,1.01
2022-04-07,CTRU,DROPBOX INC-CLASS A,DBX,26210C104,7730,176012.10,1.01
2022-04-07,CTRU,OMNICELL INC,OMCL,68213N109,1404,177269.04,1.01
2022-04-07,CTRU,SYNOPSYS INC,SNPS,871607107,544,176718.40,1.01
2022-04-07,CTRU,VF CORP,VFC,918204108,3155,175891.25,1.01
2022-04-07,CTRU,ADOBE INC,ADBE,00724F101,394,175066.02,1.00
2022-04-07,CTRU,AMAZON.COM INC,AMZN,023135106,55,174631.60,1.00
2022-04-07,CTRU,NUTANIX INC - A,NTNX,67059N108,6666,174715.86,1.00
2022-04-07,CTRU,SONY GROUP CORP - SP ADR,SONY,835699307,1758,174692.46,1.00
2022-04-07,CTRU,SPECTRUM BRANDS HOLDINGS INC,SPB,84790A105,2021,175180.28,1.00
2022-04-07,CTRU,WORKDAY INC-CLASS A,WDAY,98138H101,756,173985.84,1.00
2022-04-07,CTRU,ALLEGION PLC,ALLE,G0176J109,1632,174575.04,1.00
2022-04-07,CTRU,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,611,175332.56,1.00
2022-04-07,CTRU,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,1062,174263.58,1.00
2022-04-07,CTRU,BRUKER CORP,BRKR,116794108,2768,172446.40,0.99
2022-04-07,CTRU,HP INC,HPQ,40434L105,4951,172839.41,0.99
2022-04-07,CTRU,STEVEN MADDEN LTD,SHOO,556269108,4653,173324.25,0.99
2022-04-07,CTRU,MAGNA INTERNATIONAL INC,MGA,559222401,2816,172817.92,0.99
2022-04-07,CTRU,RAPID7 INC,RPD,753422104,1613,173300.72,0.99
2022-04-07,CTRU,SHOPIFY INC - CLASS A,SHOP,82509L107,264,173337.12,0.99
2022-04-07,CTRU,TRIPADVISOR INC,TRIP,896945201,6669,173660.76,0.99
2022-04-07,CTRU,GARMIN LTD,GRMN,H2906T109,1514,173019.92,0.99
2022-04-07,CTRU,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,1184,172437.76,0.99
2022-04-07,CTRU,ADYEN NV-UNSPON ADR,ADYEY,00783V104,9119,170434.11,0.98
2022-04-07,CTRU,AUTODESK INC,ADSK,052769106,838,170901.72,0.98
2022-04-07,CTRU,AUTOLIV INC,ALV,052800109,2367,172009.89,0.98
2022-04-07,CTRU,AXON ENTERPRISE INC,AXON,05464C101,1306,171308.02,0.98
2022-04-07,CTRU,CRH PLC-SPONSORED ADR,CRH,12626K203,4499,171591.86,0.98
2022-04-07,CTRU,DOCUSIGN INC,DOCU,256163106,1669,171406.30,0.98
