date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-07,IZRL,TUFIN SOFTWARE TECHNOLOGIES,TUFN,M8893U102,291834,3770495.28,2.37
2022-04-07,IZRL,ENLIVEX THERAPEUTICS LTD,ENLV,M4130Y106,434343,3752723.52,2.36
2022-04-07,IZRL,RADA ELECTRONIC INDS LTD,RADA,M81863124,264082,3697148.00,2.33
2022-04-07,IZRL,SOLAREDGE TECHNOLOGIES INC,SEDG,83417M104,11420,3656227.20,2.30
2022-04-07,IZRL,GAMIDA CELL LTD,GMDA,M47364100,853501,3499354.10,2.20
2022-04-07,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,M87915274,71667,3466532.79,2.18
2022-04-07,IZRL,PERION NETWORK LTD,PERI,M78673114,136790,3462154.90,2.18
2022-04-07,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,BG1YKN5,23439,3387390.30,2.13
2022-04-07,IZRL,ELBIT SYSTEMS LTD,ESLT,6308913,15050,3247156.03,2.04
2022-04-07,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,18812,3086861.08,1.94
2022-04-07,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,881624209,300012,3015120.60,1.90
2022-04-07,IZRL,NANO-X IMAGING LTD,NNOX,M70700105,228841,2892550.24,1.82
2022-04-07,IZRL,CHECK POINT SOFTWARE TECH,CHKP,M22465104,20647,2877778.86,1.81
2022-04-07,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,M51474118,331137,2874269.16,1.81
2022-04-07,IZRL,UROGEN PHARMA LTD,URGN UQ,M96088105,333472,2867859.20,1.80
2022-04-07,IZRL,HILAN LTD,HLAN,6267230,42961,2736081.51,1.72
2022-04-07,IZRL,PLAYTIKA HOLDING CORP,PLTK,72815L107,138261,2651845.98,1.67
2022-04-07,IZRL,CELLCOM ISRAEL LTD,CEL,B23WQK8,463242,2652094.14,1.67
2022-04-07,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,6987709,147300,2643869.53,1.66
2022-04-07,IZRL,STRATASYS LTD,SSYS,M85548101,114073,2625960.46,1.65
2022-04-07,IZRL,PARTNER COMMUNICATIONS CO,PTNR,6374420,322300,2595236.12,1.63
2022-04-07,IZRL,JFROG LTD,FROG,M6191J100,100706,2549875.92,1.60
2022-04-07,IZRL,ITURAN LOCATION AND CONTROL,ITRN,M6158M104,104659,2523328.49,1.59
2022-04-07,IZRL,INNOVIZ TECHNOLOGIES LTD,INVZ UR,M5R635108,686524,2533273.56,1.59
2022-04-07,IZRL,ELECTRA CONSUMER PRODUCTS 19,ECP,B536CY7,41192,2512515.69,1.58
2022-04-07,IZRL,RADWARE LTD,RDWR,M81873107,78207,2497931.58,1.57
2022-04-07,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,6098032,1487849,2498779.64,1.57
2022-04-07,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,6328074,138786,2492770.76,1.57
2022-04-07,IZRL,CELLEBRITE DI LTD,CLBT,M2197Q107,409584,2502558.24,1.57
2022-04-07,IZRL,NANO DIMENSION LTD - ADR,NNDM,63008G203,761080,2481120.80,1.56
2022-04-07,IZRL,MATRIX IT LTD,MTRX,6747754,95136,2480119.03,1.56
2022-04-07,IZRL,RISKIFIED LTD-A,RSKD,M8216R109,385757,2426411.53,1.53
2022-04-07,IZRL,KAMADA LTD,KMDA,B0L2CR5,421241,2415546.12,1.52
2022-04-07,IZRL,PRIORTECH LTD,PRTC,6677776,77137,2366817.34,1.49
2022-04-07,IZRL,TARO PHARMACEUTICAL INDUS,TARO,M8737E108,55566,2320991.82,1.46
2022-04-07,IZRL,CERAGON NETWORKS LTD,CRNT,M22013102,1113434,2293674.04,1.44
2022-04-07,IZRL,MALAM - TEAM LTD,MLTM,6875923,76470,2292396.14,1.44
2022-04-07,IZRL,COMPUGEN LTD,CGEN,M25722105,698280,2269410.00,1.43
2022-04-07,IZRL,COLLPLANT BIOTECHNOLOGIES LT,CLGN UQ,M2R51X116,228657,2245411.74,1.41
2022-04-07,IZRL,WALKME LTD,WKME,M97628107,150944,2244537.28,1.41
2022-04-07,IZRL,NICE LTD - SPON ADR,NICE,653656108,9964,2229943.20,1.40
2022-04-07,IZRL,REDHILL BIOPHARMA LTD-SP ADR,RDHL,757468103,861798,2206202.88,1.39
2022-04-07,IZRL,NOVA LTD,NVMI,M7516K103,21568,2194759.68,1.38
2022-04-07,IZRL,AUDIOCODES LTD,AUDC,M15342104,86572,2187674.44,1.38
2022-04-07,IZRL,SILICOM LTD,SILC,M84116108,58175,2179817.25,1.37
2022-04-07,IZRL,SAPIENS INTERNATIONAL CORP,SPNS,G7T16G103,85576,2183043.76,1.37
2022-04-07,IZRL,CAMTEK LTD,CAMT,M20791105,68281,2159045.22,1.36
2022-04-07,IZRL,FIVERR INTERNATIONAL LTD,FVRR,M4R82T106,30639,2122057.14,1.33
2022-04-07,IZRL,TABOOLA.COM LTD,TBLA,M8744T106,423119,2077514.29,1.31
2022-04-07,IZRL,SIMILARWEB LTD,SMWB,M84137104,159540,2064447.60,1.30
2022-04-07,IZRL,ARBE ROBOTICS LTD,ARBE,M1R95N100,269401,2074387.70,1.30
2022-04-07,IZRL,INMODE LTD,INMD,M5425M103,57085,2046497.25,1.29
