date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-07,ARKW,TESLA INC,TSLA,88160R101,194006,202883714.56,8.87
2022-04-07,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,1168757,194995417.88,8.53
2022-04-07,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,6151384,185833310.64,8.12
2022-04-07,ARKW,BLOCK INC,SQ,852234103,1140357,146843770.89,6.42
2022-04-07,ARKW,ROKU INC,ROKU,77543R102,1112642,132771569.86,5.80
2022-04-07,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1110535,128922008.15,5.64
2022-04-07,ARKW,TELADOC HEALTH INC,TDOC,87918A105,1826574,123659059.80,5.41
2022-04-07,ARKW,TWILIO INC - A,TWLO,90138F102,685302,105097914.72,4.59
2022-04-07,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,703370,102438806.80,4.48
2022-04-07,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,134692,88436073.36,3.87
2022-04-07,ARKW,UNITY SOFTWARE INC,U,91332U101,868094,81505345.66,3.56
2022-04-07,ARKW,SEA LTD-ADR,SE,81141R100,641420,77464293.40,3.39
2022-04-07,ARKW,DRAFTKINGS INC - CL A,DKNG,26142R104,4106423,72601558.64,3.17
2022-04-07,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,1406514,64544927.46,2.82
2022-04-07,ARKW,UIPATH INC - CLASS A,PATH,90364P105,3019582,64166117.50,2.81
2022-04-07,ARKW,TWITTER INC,TWTR,90184L102,1019447,51757324.19,2.26
2022-04-07,ARKW,PAGERDUTY INC,PD,69553P100,1519503,49642163.01,2.17
2022-04-07,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,3919262,49029967.62,2.14
2022-04-07,ARKW,MERCADOLIBRE INC,MELI,58733R102,33570,39074472.90,1.71
2022-04-07,ARKW,OKTA INC,OKTA,679295105,210448,31588244.80,1.38
2022-04-07,ARKW,MONDAY.COM LTD,MNDY,M7S64H106,193887,29015189.55,1.27
2022-04-07,ARKW,NEXTDOOR HOLDINGS INC,KIND,65345M108,5151020,28588161.00,1.25
2022-04-07,ARKW,VERACYTE INC,VCYT,92337F107,1015366,27272730.76,1.19
2022-04-07,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,243113,26652478.19,1.17
2022-04-07,ARKW,VUZIX CORP,VUZI,92921W300,4287520,26325372.80,1.15
2022-04-07,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,121912,25750252.64,1.13
2022-04-07,ARKW,NANO DIMENSION LTD - ADR,NNDM,63008G203,7822410,25501056.60,1.11
2022-04-07,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,5330000,24891100.00,1.09
2022-04-07,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,1169011,21848815.59,0.96
2022-04-07,ARKW,2U INC,TWOU,90214J101,1183253,15121973.34,0.66
2022-04-07,ARKW,ENDEAVOR GROUP HOLD-CLASS A,EDR  UN,29260Y109,479124,13453801.92,0.59
2022-04-07,ARKW,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,1622502,12184990.02,0.53
2022-04-07,ARKW,WALT DISNEY CO/THE,DIS,254687106,79595,10551909.15,0.46
2022-04-07,ARKW,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,6367450,6367450.08,0.28
2022-04-07,ARKW,SPLUNK INC,SPLK,848637104,1638,224111.16,0.01
2022-04-07,ARKW,PELOTON INTERACTIVE INC-A,PTON,70614W100,8708,216916.28,0.01
2022-04-07,ARKW,SNOWFLAKE INC-CLASS A,SNOW,833445109,86,18239.74,0.00
