date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-07,ARKF,BLOCK INC,SQ,852234103,1263614,162715574.78,11.20
2022-04-07,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,857581,143078814.04,9.85
2022-04-07,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,214018,140519938.44,9.67
2022-04-07,ARKF,TWILIO INC - A,TWLO,90138F102,723244,110916699.84,7.63
2022-04-07,ARKF,SEA LTD-ADR,SE,81141R100,615059,74280675.43,5.11
2022-04-07,ARKF,DISCOVERY LTD,DSY,6177878,5961361,72960759.46,5.02
2022-04-07,ARKF,MERCADOLIBRE INC,MELI,58733R102,61043,71052220.71,4.89
2022-04-07,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,478287,64678751.01,4.45
2022-04-07,ARKF,UIPATH INC - CLASS A,PATH,90364P105,2890690,61427162.50,4.23
2022-04-07,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,4831934,60447494.34,4.16
2022-04-07,ARKF,TELADOC HEALTH INC,TDOC,87918A105,884837,59903464.90,4.12
2022-04-07,ARKF,ADYEN NV,ADYEN,BZ1HM42,30234,56466683.53,3.89
2022-04-07,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1044677,51398108.40,3.54
2022-04-07,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,2332577,41239961.36,2.84
2022-04-07,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,157631,33553334.66,2.31
2022-04-07,ARKF,STONECO LTD-A,STNE,G85158106,2675109,30683500.23,2.11
2022-04-07,ARKF,TOAST INC-CLASS A,TOST,888787108,1469315,30267889.00,2.08
2022-04-07,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,2852532,21422515.32,1.47
2022-04-07,ARKF,JD.COM INC-ADR,JD,47215P106,357857,21138612.99,1.45
2022-04-07,ARKF,Z HOLDINGS CORP,4689,6084848,4569284,19134188.18,1.32
2022-04-07,ARKF,INTUIT INC,INTU,461202103,37757,18508858.97,1.27
2022-04-07,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,562615,18307492.10,1.26
2022-04-07,ARKF,ETSY INC,ETSY,29786A106,139986,17564043.42,1.21
2022-04-07,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,119270,15401335.10,1.06
2022-04-07,ARKF,TWITTER INC,TWTR,90184L102,301741,15319390.57,1.05
2022-04-07,ARKF,LENDINGCLUB CORP,LC,52603A208,925965,13463531.10,0.93
2022-04-07,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,212196,12731760.00,0.88
2022-04-07,ARKF,FARFETCH LTD-CLASS A,FTCH,30744W107,738310,11192779.60,0.77
2022-04-07,ARKF,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1867091,1867090.70,0.13
2022-04-07,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,607059,1453906.31,0.10
2022-04-07,ARKF,SOUTH AFRICAN RAND,,ZAR,137,9.32,0.00
