date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-07,ARKQ,TESLA INC,TSLA,88160R101,166423,174038516.48,10.97
2022-04-07,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,6808904,140944312.80,8.89
2022-04-07,ARKQ,TRIMBLE INC,TRMB,896239100,1587662,112660495.52,7.10
2022-04-07,ARKQ,AEROVIRONMENT INC,AVAV,008073108,823891,82998779.34,5.23
2022-04-07,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,3799522,80739842.50,5.09
2022-04-07,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,1778970,73435881.60,4.63
2022-04-07,ARKQ,DEERE & CO,DE,244199105,175729,72268551.25,4.56
2022-04-07,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,2932213,67235644.09,4.24
2022-04-07,ARKQ,BLADE AIR MOBILITY INC,BLDE,092667104,6445857,53307237.39,3.36
2022-04-07,ARKQ,3D SYSTEMS CORP,DDD,88554D205,3170658,49620797.70,3.13
2022-04-07,ARKQ,UNITY SOFTWARE INC,U,91332U101,495201,46494421.89,2.93
2022-04-07,ARKQ,MARKFORGED HOLDING CORP,MKFG,57064N102,10687080,42320836.80,2.67
2022-04-07,ARKQ,ARCHER AVIATION INC-A,ACHR,03945R102,8786369,39626524.19,2.50
2022-04-07,ARKQ,VELO3D INC,VLD,92259N104,5969339,37785915.87,2.38
2022-04-07,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,164666,35579382.62,2.24
2022-04-07,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,3068855,34616684.40,2.18
2022-04-07,ARKQ,TERADYNE INC,TER,880770102,309672,34435526.40,2.17
2022-04-07,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,12282,33695912.64,2.12
2022-04-07,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,481833,28919616.66,1.82
2022-04-07,ARKQ,XPENG INC - ADR,XPEV,98422D105,928648,26884359.60,1.69
2022-04-07,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,2463380,25495983.00,1.61
2022-04-07,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,406924,24972925.88,1.57
2022-04-07,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,177142,24799880.00,1.56
2022-04-07,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,7561155,24649365.30,1.55
2022-04-07,ARKQ,CATERPILLAR INC,CAT,149123101,111481,24103307.01,1.52
2022-04-07,ARKQ,PROTO LABS INC,PRLB,743713109,472887,23795673.84,1.50
2022-04-07,ARKQ,STRATASYS LTD,SSYS,M85548101,1035570,23838821.40,1.50
2022-04-07,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1148701,21664500.86,1.37
2022-04-07,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,40039,19068573.75,1.20
2022-04-07,ARKQ,SYNOPSYS INC,SNPS,871607107,56438,18333884.30,1.16
2022-04-07,ARKQ,ANSYS INC,ANSS,03662Q105,55361,17247719.55,1.09
2022-04-07,ARKQ,VUZIX CORP,VUZI,92921W300,2444361,15008376.54,0.95
2022-04-07,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,32261,14665205.38,0.92
2022-04-07,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,48494,13998762.98,0.88
2022-04-07,ARKQ,2U INC,TWOU,90214J101,716797,9160665.66,0.58
2022-04-07,ARKQ,NIO INC - ADR,NIO,62914V106,420057,9106835.76,0.57
2022-04-07,ARKQ,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,4369769,4369769.13,0.28
2022-04-07,ARKQ,MATTERPORT INC,MTTR,577096100,534829,4070048.69,0.26
2022-04-07,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,101738,355065.62,0.02
