date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-07,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,4465773,306843262.83,8.60
2022-04-07,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3871072,262071574.40,7.35
2022-04-07,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,6106096,236611220.00,6.63
2022-04-07,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,4403153,179340421.69,5.03
2022-04-07,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,8294541,144822685.86,4.06
2022-04-07,ARKG,CAREDX INC,CDNA,14167L103,3471520,129314120.00,3.62
2022-04-07,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,1945504,128636724.48,3.61
2022-04-07,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1809087,122203826.85,3.43
2022-04-07,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,2088948,114474350.40,3.21
2022-04-07,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,416507,113452341.73,3.18
2022-04-07,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,2269313,110787860.66,3.11
2022-04-07,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,12526664,110234643.20,3.09
2022-04-07,ARKG,INCYTE CORP,INCY,45337C102,1248264,102195373.68,2.86
2022-04-07,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,7630546,100417985.36,2.81
2022-04-07,ARKG,SCHRODINGER INC,SDGR,80810D103,2804465,93136282.65,2.61
2022-04-07,ARKG,ACCOLADE INC,ACCD,00437E102,4802877,79967902.05,2.24
2022-04-07,ARKG,CODEXIS INC,CDXS,192005106,3901557,78421295.70,2.20
2022-04-07,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,2359762,70580481.42,1.98
2022-04-07,ARKG,UIPATH INC - CLASS A,PATH,90364P105,3209740,68206975.00,1.91
2022-04-07,ARKG,908 DEVICES INC,MASS,65443P102,3446363,68100132.88,1.91
2022-04-07,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,5939579,64978994.26,1.82
2022-04-07,ARKG,SOMALOGIC INC,SLGC,83444K105,9045113,65034362.47,1.82
2022-04-07,ARKG,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,17611122,62167260.66,1.74
2022-04-07,ARKG,VERACYTE INC,VCYT,92337F107,1999893,53717125.98,1.51
2022-04-07,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,247905,51435329.40,1.44
2022-04-07,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,3006467,50929550.98,1.43
2022-04-07,ARKG,QUANTUM-SI INC,QSI,74765K105,11256808,48967114.80,1.37
2022-04-07,ARKG,INVITAE CORP,NVTA,46185L103,5586937,42795937.42,1.20
2022-04-07,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,1158081,41922532.20,1.17
2022-04-07,ARKG,PERSONALIS INC,PSNL,71535D106,5130322,41042576.00,1.15
2022-04-07,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,57055,40415479.80,1.13
2022-04-07,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,2846734,40224351.42,1.13
2022-04-07,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,543580,39991180.60,1.12
2022-04-07,ARKG,PFIZER INC,PFE,717081103,751589,39736510.43,1.11
2022-04-07,ARKG,BURNING ROCK BIOTECH LTD-ADR,BNR,12233L107,3484748,35195954.80,0.99
2022-04-07,ARKG,VERVE THERAPEUTICS INC,VERV,92539P101,1669778,33879795.62,0.95
2022-04-07,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,7265384,32330958.80,0.91
2022-04-07,ARKG,CERUS CORP,CERS,157085101,4344730,23287752.80,0.65
2022-04-07,ARKG,DYNAMICS SPECIAL PURPOSE C-A,DYNS,268010105,2255686,22263620.82,0.62
2022-04-07,ARKG,BERKELEY LIGHTS INC,BLI,084310101,3376819,21712946.17,0.61
2022-04-07,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,2798236,18608269.40,0.52
2022-04-07,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,5329596,15988788.00,0.45
2022-04-07,ARKG,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,12460161,12460161.43,0.35
2022-04-07,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,797284,11018464.88,0.31
2022-04-07,ARKG,COMPUGEN LTD,CGEN,M25722105,3179442,10333186.50,0.29
2022-04-07,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,520760,10285010.00,0.29
2022-04-07,ARKG,ZYMERGEN INC,ZY,98985X100,3106192,8542028.00,0.24
2022-04-07,ARKG,ATAI LIFE SCIENCES NV,ATAI UQ,N0731H103,1657178,8153315.76,0.23
2022-04-07,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,200676,700359.24,0.02
