date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-07,PRNT,DESKTOP METAL INC-A,DM,25058X105,2500387,11676807.29,4.18
2022-04-07,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,170595,10554712.65,3.78
2022-04-07,PRNT,VELO3D INC,VLD,92259N104,1607776,10177222.08,3.65
2022-04-07,PRNT,MICROSOFT CORP,MSFT,594918104,33897,10152151.50,3.64
2022-04-07,PRNT,TRIMBLE INC,TRMB,896239100,140782,9989890.72,3.58
2022-04-07,PRNT,ANSYS INC,ANSS,03662Q105,30681,9558665.55,3.42
2022-04-07,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,195550,9388446.53,3.36
2022-04-07,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,600065,9197551.40,3.30
2022-04-07,PRNT,STRATASYS LTD,SSYS,M85548101,395167,9096744.34,3.26
2022-04-07,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,476390,8984715.40,3.22
2022-04-07,PRNT,PROTO LABS INC,PRLB,743713109,177768,8945285.76,3.20
2022-04-07,PRNT,PTC INC,PTC,69370C100,88321,8918654.58,3.20
2022-04-07,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,180147,8879445.63,3.18
2022-04-07,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,2681040,8740190.40,3.13
2022-04-07,PRNT,HP INC,HPQ,40434L105,248023,8658482.93,3.10
2022-04-07,PRNT,AUTODESK INC,ADSK,052769106,41707,8505725.58,3.05
2022-04-07,PRNT,ATLANTIC COASTAL ACQUISITI-A,ACAH,048453104,865068,8460365.04,3.03
2022-04-07,PRNT,CONFORMIS INC,CFMS,20717E101,13033628,8093882.99,2.90
2022-04-07,PRNT,BICO GROUP AB,BICO,BKMFJ94,374380,7729814.02,2.77
2022-04-07,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,5178,7546219.65,2.70
2022-04-07,PRNT,3D SYSTEMS CORP,DDD,88554D205,463806,7258563.90,2.60
2022-04-07,PRNT,MARKFORGED HOLDING CORP,MKFG,57064N102,1758608,6964087.68,2.49
2022-04-07,PRNT,RENISHAW PLC,RSW,0732358,143086,6930155.13,2.48
2022-04-07,PRNT,XOMETRY INC-A,XMTR,98423F109,173264,6452351.36,2.31
2022-04-07,PRNT,FATHOM DIGITAL MANUFACTURING,FATH,31189Y103,886752,6109721.28,2.19
2022-04-07,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,373226,5350832.69,1.92
2022-04-07,PRNT,AMETEK INC,AME,031100100,37108,4895658.44,1.75
2022-04-07,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,10346,4363322.04,1.56
2022-04-07,PRNT,MOOG INC-CLASS A,MOG/A,615394202,46282,4025608.36,1.44
2022-04-07,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,28037,3674809.59,1.32
2022-04-07,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,17934,3486190.26,1.25
2022-04-07,PRNT,EXCO TECHNOLOGIES LTD,XTC,2325392,465377,3357146.45,1.20
2022-04-07,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,007800105,82739,3312869.56,1.19
2022-04-07,PRNT,KAISER ALUMINUM CORP,KALU,483007704,36199,3317276.36,1.19
2022-04-07,PRNT,GENERAL ELECTRIC CO,GE,369604301,36935,3320825.85,1.19
2022-04-07,PRNT,SHAPEWAYS HOLDINGS INC,SHPW,81947T102,1367451,3104113.77,1.11
2022-04-07,PRNT,SIEMENS AG-REG,SIE,5727973,21829,2808047.53,1.01
2022-04-07,PRNT,ARCONIC CORP,ARNC,03966V107,113307,2824743.51,1.01
2022-04-07,PRNT,MICHELIN (CGDE),ML,4588364,21051,2701082.20,0.97
2022-04-07,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,355288,2692701.03,0.96
2022-04-07,PRNT,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1596584,1596584.25,0.57
2022-04-07,PRNT,MASSIVIT 3D PRINTING TECHNOL,MSVT,BN10861,345461,1576886.10,0.56
2022-04-07,PRNT,EASTMAN KODAK CO,KODK,277461406,81536,535691.52,0.19
2022-04-07,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,01741R102,16821,466446.33,0.17
2022-04-07,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,11368,462222.88,0.17
2022-04-07,PRNT,HEXCEL CORP,HXL,428291108,6224,346863.52,0.12
2022-04-07,PRNT,5N PLUS INC,VNP,B2B3VZ3,178098,328297.79,0.12
2022-04-07,PRNT,3M CO,MMM,88579Y101,1972,296391.60,0.11
2022-04-07,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,2792,302289.84,0.11
2022-04-07,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,4309,302405.62,0.11
2022-04-07,PRNT,PYROGENESIS CANADA INC,PYR,B43JTF9,134107,294293.78,0.11
2022-04-07,PRNT,XEROX HOLDINGS CORP,XRX,98421M106,15193,288970.86,0.10
2022-04-07,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,10299,274175.93,0.10
2022-04-07,PRNT,ARKEMA,AKE,B0Z5YZ2,2274,266494.06,0.10
2022-04-07,PRNT,KONINKLIJKE DSM NV,DSM,B0HZL93,1679,292401.89,0.10
2022-04-07,PRNT,TORAY INDUSTRIES INC,3402,6897143,53925,269853.69,0.10
2022-04-07,PRNT,SANDVIK AB,SAND,B1VQ252,12591,257107.08,0.09
2022-04-07,PRNT,SGL CARBON SE,SGL,4818351,43948,244102.32,0.09
2022-04-07,PRNT,VOESTALPINE AG,VOE,4943402,9001,239817.33,0.09
