date,fund,company,ticker,cusip,shares,market value ($),weight (%)
2022-04-07,ARKX,TRIMBLE INC,TRMB,896239100,516131,36624655.76,8.96
2022-04-07,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,1763191,36498053.70,8.93
2022-04-07,ARKX,AEROVIRONMENT INC,AVAV,008073108,281007,28308645.18,6.92
2022-04-07,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,987008,27715184.64,6.78
2022-04-07,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,100798,25995804.20,6.36
2022-04-07,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,575195,23744049.60,5.81
2022-04-07,ARKX,KOMATSU LTD,6301,6496584,870288,20091951.24,4.91
2022-04-07,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,1930573,15965838.71,3.90
2022-04-07,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,255243,12254335.24,3.00
2022-04-07,ARKX,AMAZON.COM INC,AMZN,023135106,3697,11738418.64,2.87
2022-04-07,ARKX,DEERE & CO,DE,244199105,27830,11445087.50,2.80
2022-04-07,ARKX,JD LOGISTICS INC,2618,BNMBPD9,4555126,10460799.31,2.56
2022-04-07,ARKX,VELO3D INC,VLD,92259N104,1635306,10351486.98,2.53
2022-04-07,ARKX,UNITY SOFTWARE INC,U,91332U101,105401,9896099.89,2.42
2022-04-07,ARKX,GARMIN LTD,GRMN U,B3Z5T14,85973,9824994.44,2.40
2022-04-07,ARKX,UIPATH INC - CLASS A,PATH,90364P105,455737,9684411.25,2.37
2022-04-07,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,2134553,9626834.03,2.35
2022-04-07,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,191224,8448276.32,2.07
2022-04-07,ARKX,MARKFORGED HOLDING CORP,MKFG,57064N102,2135072,8454885.12,2.07
2022-04-07,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,37457,8093333.99,1.98
2022-04-07,ARKX,JOBY AVIATION INC,JOBY,G65163100,1416867,7991129.88,1.95
2022-04-07,ARKX,ALPHABET INC-CL C,GOOG,02079K107,2899,7953464.48,1.94
2022-04-07,ARKX,TERADYNE INC,TER,880770102,70002,7784222.40,1.90
2022-04-07,ARKX,THALES SA,HO,4162791,51960,6652896.54,1.63
2022-04-07,ARKX,MYNARIC AG,MYNA,62857X101,548995,5868756.55,1.44
2022-04-07,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,29482,5708304.84,1.40
2022-04-07,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,9572,4558665.00,1.11
2022-04-07,ARKX,HEICO CORP,HEI,422806109,29102,4452023.96,1.09
2022-04-07,ARKX,SYNOPSYS INC,SNPS,871607107,12927,4199335.95,1.03
2022-04-07,ARKX,AIRBUS SE,AIR,4012250,36936,4179610.60,1.02
2022-04-07,ARKX,3D SYSTEMS CORP,DDD,88554D205,255064,3991751.60,0.98
2022-04-07,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,8848,4022123.84,0.98
2022-04-07,ARKX,ANSYS INC,ANSS,03662Q105,12246,3815241.30,0.93
2022-04-07,ARKX,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1643605,1643605.07,0.40
2022-04-07,ARKX,PROTO LABS INC,PRLB,743713109,13690,688880.80,0.17
